ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,nomefile
3,02/A952/BZ/21,Bolzano,Bolzano,"Via Museo, 62","46°30'00,62''","11°210'53,66''",275,si,Robinia pseudoacacia L.,Robinia,441,7,a) età e/o dimensioni b) forma e portamento,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,Bolzano.csv
63,01/G509/SA/15,Salerno,Petina ,Casone Aresta - Osservatorio astronomico,"40°30'01,04""","15°2302,03""",1150,no,Prunus avium L.,Ciliegio selvatico,255,22,a) età e/o dimensioni c) valore ecologico d) rarità botanica,no,Campania.csv
102,02/D934/RE/08,Reggio Emilia,Gattatico,"Ponte d’Enza - Via Emilia, 29","44°45'59,50''","10°26'17',78""",50,no,Insieme omogeneo di Morus alba L.,Gelso bianco,285 (med) 400 (max),"9,0 (med) 9,0 (max)","a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso",no,EmiliaRomagna.csv
29,09/H501/RM/12,Roma,Roma,Villa Sciarra - Viale Adolfo Leducq,"41°53'00,06""","12°27 49,29""",76, si,Podocarpus neriifolius D. Don,Podocarpo,200,18,d) rarità botanica,si,Lazio.csv
19,01/B306/AT/01,Asti,Buttigliera d'Asti,Parco Maffei - Via Principe di Piemonte,"45°01'04,48''","7°56'27',20'",286,no,Quercus robur L.,Farnia ,460,22.5,a) età e/o dimensioni b) forma e portamento ,no,Piemonte.csv
12,01/E038/BA/16,Bari,Gioia del Colle,Masseria Soria,non posizionata correttamente,,328,no,Quercus pubescens Willd.,Roverella,375,22,a) età e/o dimensioni ,no?,Puglia.csv
13,02/E038/BA/16,Bari,Gioia del Colle,Masseria Soria,non posizionata correttamente,,328,no,Quercus pubescens Willd.,Roverella,430,20.5,a) età e/o dimensioni ,no?,Puglia.csv
14,03/E038/BA/16,Bari,Gioia del Colle,Masseria Soria,non posizionata correttamente,,328,no,Quercus pubescens Willd.,Roverella,245-205-165-130,20.5,a) età e/o dimensioni b) forma e portamento ,no?,Puglia.csv
15,04/E038/BA/16,Bari,Gioia del Colle,Masseria Soria,non posizionata correttamente,,328,no,Quercus pubescens Willd.,Roverella,405,20.5,a) età e/o dimensioni ,no?,Puglia.csv
27,05/F361/FG/16,Foggia,Monte Sant'Angelo ,Foresta Umbra - Falascone ,"41°4837,73""","15°59'20,03""",726,no,Taxus baccata L.,Tasso,402,13,a) età e/o dimensioni d) rarità botanica,no,Puglia.csv
107,14/L140/OG/20,Nuoro (Ogliastra),Tertenia,Tacchixeddu,"39°39'48,34""","9°33 01,,9""",400,no,Pistacia lentiscus L. ,Lentisco,170,5,a) età e/o dimensioni b) forma e portamento,no,Sardegna.csv
226,01/D997/VS/20,Sud Sardegna (Medio Campidano),Gesturi,Ortu de Corti,"39°42'54,63""","9°02'9.,6'""",195,no,Eucalyptus globulus Labill.,Eucalitto blu,580,30,a) età e/o dimensioni,vigente,Sardegna.csv
66,02/L736/VE/05,Venezia,Venezia,Giardini della Biennale,"verificare 45°25'43,95""","verificare 12°21'29,96""",2,si,Platanus acerifolia (Aiton) Willd.,Platano comune,483,39,"a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso",no,Veneto.csv
109,01/L278/VI/05,Vicenza,Torrebelvicino,Campolungo,non va bene,non va bene,500,no,Castanea sativa Mill.,Castagno,480,16,"a) età e/o dimensioni c) valore ecologico f) pregio paesaggistico g) valore storico, culturale, religioso ",no,Veneto.csv
