ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/C745/PG/10,Perugia ,Città di Castello,Villa Montesca - Montesca,"43°27'05,52''","12°13'38,35''",398,no,Cupressus macrocarpa Hartw. ,Cipresso di Monterey,530,21,a) età e/o dimensioni,no,12.227319,43.483611
2,02/C745/PG/10,Perugia ,Città di Castello,Villa Montesca - Montesca,"43°27'04,47''","12°13,38,78''",398,no,Abies pinsapo Boiss.,Abete di Spagna,355,24.5,a) età e/o dimensioni d) rarità botanica,no,12.227439,43.483611
3,03/C745/PG/10,Perugia ,Città di Castello,Villa Montesca - Montesca,"43°27'06,21''","12°13'37,71''",398,no,Styphnolobium japonicum (L.) Schott,Sofora del Giappone,185,5.5,a) età e/o dimensioni d) rarità botanica,no,12.227142,43.483611
4,04/C745/PG/10,Perugia ,Città di Castello,Villa Montesca - Montesca,"43°27'04,76''","12°13'39,88''",410,no,Cupressus macrocarpa Hartw. ,Cipresso di Monterey,447,17,a) età e/o dimensioni c) valore ecologico,no,12.227744,43.483611
5,05/C745/PG/10,Perugia ,Città di Castello,Villa Montesca - Montesca,"43°27'04,74''","12°13'38,25''",410,no,Cedrus atlantica (Endl.) Carrière,Cedro dell'Atlante,370,30,a) età e/o dimensioni,no,12.227292,43.483611
6,06/C745/PG/10,Perugia ,Città di Castello,Piazza Gabriotti,"43°27'24,51''","12°14'13,95''",310,si,Aesculus hippocastanum L. ,Ippocastano,404,20,a) età e/o dimensioni b) forma e portamento,no,12.237208,43.483611
7,07/C745/PG/10,Perugia ,Città di Castello,Ca' di Baldo,"43°27'40,44''","12°11'46,09''",560,no,Quercus pubescens Willd.,Roverella,330,16,a) età e/o dimensioni b) forma e portamento,no,12.196136,43.483611
8,08/C745/PG/10,Perugia ,Città di Castello,Villa San Donnino - Vocabolo Pecorella,"43°25'34,67''","12°16'48,60''",420,no,Quercus pubescens Willd.,Roverella,400,22,a) età e/o dimensioni,no,12.280167,43.450278
9,10/C745/PG/10,Perugia ,Città di Castello,"Via Meltina,2","43°27'26,84''","12°15'14,18''",326,si,Quercus pubescens Willd.,Roverella,345,17.5,a) età e/o dimensioni b) forma e portamento,no,12.253939,43.483611
10,01/F513/TR/10,Terni,Montegabbione,Pian di Borgone,"42°53'41,00''","12°08'33,00''",600,si,Fraxinus angustifolia Vahl,Frassino meridionale ,385,18.5,a) età e/o dimensioni,no,12.142500,42.916944
11,02/F513/TR/10,Terni,Montegabbione,Pian di Borgone,"42°53'40,00''","12°08'27,00''",600,no,Quercus pubescens Willd.,Roverella,420,17.5,a) età e/o dimensioni,no,12.140833,42.916944
12,03/F513/TR/10,Terni,Montegabbione,Podere Boschetto - Strada provinciale n.58,"42°54'42,00''","12°05'27,00''",490,no,Quercus ilex L.,Leccio,450,21.5,a) età e/o dimensioni,no,12.090833,42.933611
13,04/F513/TR/10,Terni,Montegabbione,Vocabolo Casanova ,"42°54'38,00''","12°08'59,00''",488,no,Quercus pubescens Willd.,Roverella,393,21,a) età e/o dimensioni,no,12.149722,42.933611
14,07/F513/TR/10,Terni,Montegabbione,Passeggiata IV Novembre,"42°55'13,00''","12°05'33,00''",584,si,Pinus halepensis Mill.,Pino d'Aleppo,335,18.5,a) età e/o dimensioni,no,12.092500,42.950278
15,09/F513/TR/10,Terni,Montegabbione,Scatolla IV,"42°54'40,00''","12°05'07,00''",460,no,Quercus pubescens Willd.,Roverella,230,13.5,"g) valore storico, culturale, religioso",no,12.085278,42.933611
