ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/A116/TN/22,Trento,Ala,Malga Revoltello,"45°42'48,10""","10°59'35,40""",1475,no,Fagus sylvatica L.,Faggio,663,21.5,"a) età e/o dimensioni c) valore ecologico f) pregio paesaggistico g) valore storico, culturale, religioso",no,10.986433,45.709328
2,02/A116/TN/22,Trento,Ala,Malga Lavacchione,"45°42'33,58""","10°59'11,16""",1380,no,Insieme omogeneo di Fagus sylvatica L.,Faggio,450 (med) 557 (max) ,"30,0 (med) 33,0 (max) ",a) età e/o dimensioni c) valore ecologico f) pregio paesaggistico ,no,10.981767,45.703392
3,03/A116/TN/22,Trento,Ala,Segheria – Riservetta Maia (La Regina),"45°42'12,21""","10°58'54,36""",1300,no,Fagus sylvatica L.,Faggio,525,35,"a) età e/o dimensioni c) valore ecologico g) valore storico, culturale, religioso",no,10.982097,45.692139
4,04/A116/TN/22,Trento,Ala,Malga Sega,"45°41'31,70""","10°58'55,55""",1280,no,Insieme omogeneo di Fagus sylvatica L.,Faggio,514 (med) 540 (max) ,"26,5 (med) 31,0 (max) ",a) età e/o dimensioni c) valore ecologico f) pregio paesaggistico ,no,11.272908,46.226142
5,02/M349/TN/22,Trento,Altavalle (ex Grumes),Pegolot,"46°13'34,11""","11°16'22,47""",1265,no,Picea abies (L) H. Karst.,Abete rosso,436,38,a) età e/o dimensioni b) forma e portamento ,no,10.931739,45.948911
6,02/A372/TN/22,Trento,Arco,Carobbi,"45°56'56,08""","10°55'54,26""",750,no,Insieme omogeneo di Castanea sativa Mill.,Castagno,655 (med) 663 (max) ,"15,0 (med) 16,0 (max) ",a) età e/o dimensioni b) forma e portamento c) valore ecologico f) pregio paesaggistico ,no,10.964508,45.725483
7,01/A520/TN/22,Trento,Avio,Malga Riondera,"45°43'31,74""","10°57'52,23""",808,no,Acer campestre L.,Acero campestre,288,20.5,a) età e/o dimensioni ,no,11.881453,46.722336
8,02/A520/TN/22,Trento,Avio,Val della Sega - Malga Fassole,"46°43'20,41""","11°52'53,23""",1265,no,Abies alba Mill.,Abete bianco,610,31,a) età e/o dimensioni b) forma e portamento c) valore ecologico,"bene ambientale ai sensi dell'art. 65 della L.P. 04/08/2015, n. 15.",10.928911,45.756042
9,03/A520/TN/22,Trento,Avio,Piagù,"45°45'21,75""","10°55'44,08""",915,no,Insieme omogeneo di Fagus sylvatica L.,Faggio,512 (med) 670 (max) ," 29,0 (med) 30,0 (max) ",a) età e/o dimensioni f) pregio paesaggistico ,"bene ambientale ai sensi dell'art. 65 della L.P. 04/08/2015, n. 15.",11.543433,46.079703
10,02/A863/TN/22,Trento,Bieno,Maso Weiss,"46°04'46,93""","11°32'36,36""",765,no,Tilia cordata Mill.,Tiglio selvatico,516,25,a) età e/o dimensioni f) pregio paesaggistico ,"bene ambientale ai sensi dell'art. 65 della L.P. 04/08/2015, n. 15.",10.537747,45.909428
