ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
47,01/L776/LE/16,Lecce,Vernole ,Pisignano,"40°18'38,93''"," 18°16'06,64''",34,no,Quercus ilex L.,Leccio,415,23,a) età e/o dimensioni f) pregio paesaggistico,vigente,18.268511,40.350278
48,01/C136/TA/16,Taranto,Castellaneta ,R.N. Stornara - Sez. La Principessa ,"40°29'15,84""","16°57'41,48""",9,no,Pinus halepensis Mill.,Pino d'Aleppo,302,20,"a) età e/o dimensioni g) valore storico, culturale, religioso",si,16.961522,40.528056
49,01/E986/TA/16,Taranto,Martina Franca ,R.N. Murge Orientali - Masseria Angela - Trasconi,"40°40'19,00""","17°16'90,00""",515,no,Quercus ilex L.,Leccio,305,13,a) età e/o dimensioni b) forma e portamento ,no,17.291667,40.714167
50,02/E986/TA/16,Taranto,Martina Franca ,R.N. Murge Orientali - Sez. Signorella,"40°40'09,95""","17°10'48,75""",457,no,Quercus trojana Webb.,Fragno,365,16,a) età e/o dimensioni d) rarità botanica,no,17.180208,40.714167
51,03/E986/TA/16,Taranto,Martina Franca ,R.N. Murge Orientali - Sez. Gorgofreddo,"40°41'33,74"" ","17°16'18,36""",464,no,Quercus trojana Webb.,Fragno,305,16.5,a) età e/o dimensioni d) rarità botanica,no,17.271767,40.730833
52,05/E986/TA/16,Taranto,Martina Franca ,Masseria Palesi - Strada Minco di Tata,"40°40'26,91"" ","17°18'07,21""",420,no,Quercus ilex L.,Leccio,540,26,a) età e/o dimensioni b) forma e portamento ,no,17.302003,40.714167
53,06/E986/TA/16,Taranto,Martina Franca ,R.N. R. O. Bosco delle Pianelle,"40°39'15,20"" ","17°12'03,97""",429,no,Quercus ilex L.,Leccio,450,14,a) età e/o dimensioni b) forma e portamento ,no,17.201103,40.697500
54,07/E986/TA/16,Taranto,Martina Franca ,R.N. R. O. Bosco delle Pianelle,"40°39'12,84"" ","17°12'24,93""",400,no,Quercus ilex L.,Leccio,385,20,a) età e/o dimensioni b) forma e portamento c) valore ecologico ,no,17.206925,40.697500
55, 01/G252/TA/16,Taranto,Palagiano,R.N.Stornara - Sez. Marziotta,"40°31'23,64"" ","17°03'20,56""",10,no,Pinus halepensis Mill.,Pino d'Aleppo,310,18,"a) età e/o dimensioni g) valore storico, culturale, religioso ",no,17.055711,40.564167
56, 02/G252/TA/16,Taranto,Palagiano,R.N.Stornara - Sez. Romanazzi,"40°30'07,57"" ","16°58'24,72""",9,no,Pinus halepensis Mill.,Pino d'Aleppo,300,22,a) età e/o dimensioni b) forma e portamento ,no,16.973533,40.544722
