ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/A052/AL/01,Alessandria,Acqui Terme,Concentrico - Viale Alessandria,"44°40'24,53""","8°28'25,16''",159,sì,Cedrus atlantica (Endl.) Carrière ,Cedro dell'Atlante,460,30,a) età e/o dimensioni b) forma e portamento,no,8.473656,44.689167
2,02/A052/AL/01,Alessandria,Acqui Terme,"Bagni - Via Trieste, 34","44°40'07,39''","8°27'48,36''",156,sì,Populus nigra L.,Pioppo nero,600,32,a) età e/o dimensioni e) architettura vegetale,no,8.463433,44.689167
3,01/A182/AL/01,Alessandria,Alessandria,Strada regionale n. 10 ,"44°54'28,42''","8°38'24,25''",90,si,Platanus acerifolia (Aiton) Willd.,Platano comune,760,37,"a) età e/o dimensioni g) valore storico, culturale, religioso",vigente,8.640069,44.922500
4,01/A436/AL/01,Alessandria,Arquata scrivia,Belvedere di Rigoroso,"44°39'41,18''","8°54'43,16''",246,no,Quercus ilex L.,Leccio,350,19,a) età e/o dimensioni d) rarità botanica,vigente,8.911989,44.672500
5,01/A523/Al/01,Alessandria,Avolasca,Tassare,"44°49'15,81''","8°58'38,75''",350,sì,Morus alba L.,Gelso bianco,410,8,a) età e/o dimensioni b) forma e portamento c) valore ecologico,no,8.977431,44.839167
6,02/A523/AL/01,Alessandria,Avolasca, Oliva,"44°47'53,75''","8°59'10,00''",314,no,Quercus pubescens Willd.,Roverella,430,20,a) età e/o dimensioni b) forma e portamento,vigente ,8.986111,44.805833
7,01/C243/AL/01,Alessandria,Castelnuovo Scrivia,Secco,"45°00'10,91''","8°51'03,10''",80,no,Populus alba L.,Pioppo bianco,458,24,"a) età e/o dimensioni g) valore storico, culturale, religioso",no,8.850861,45.022500
8,01/C962/AL/01,Alessandria,Coniolo,Argine Morano-Area sportiva di Morano,"45°09'32,00''","8°22'11,00''",120,no,Populus nigra L.,Pioppo nero,600,28.5,a) età e/o dimensioni,no,8.369722,45.172500
9,01/D797/AL/01,Alessandria,Fresonara,"Concentrico -Via Manzoni, 8","44°47'00,20''","8°41'01,46''",140,sì,Morus alba L.,Gelso bianco,280,9.5,"a) età e/o dimensioni g) valore storico, culturale, religioso",no,8.683739,44.805833
10,01/F232/AL/01,Alessandria,Mirabello Monferrato,"Strada Comunia, 30","45°02'30,43''","8°30'56,40''",148,no,Quercua pubescens Willd.,Roverella ,293,18,b) forma e portamento,no,8.515667,45.055833
11,01/F965/AL/01,Alessandria,Novi Ligure,"Strada CastelIone, 11","44°44'18,36''","8°49'17,49''",273,no,Quercus virgiliana (Ten.) Ten.,Quercia castagnara,440,20,a) età e/o dimensioni b) forma e portamento d) rarità botanica f) pregio paesaggistico,vigente ,8.821525,44.755833
12,01/G807/AL/01,Alessandria,Pomaro Monferrato,"Via Marchesi dalla Valle, 4","45°03'49,58''","8°35'49,44''",120,si,Insieme omogeneo di Celtis australis L.,Bagolaro,490 (med) 495 (max),"27,5 (med) 27,5 (max)",a) età e/o dimensioni e) architettura vegetale,vigente,8.597067,45.072500
13,01/L059/AL/01,Alessandria,Tassarolo,Via della Rovere verde,"44°43'47,46''","8°46'44,59''",254,no,Quercus crenata Lam.,Cerro-sughera ,400,18,"a) età e/o dimensioni d) rarità botanica g) valore storico, culturale, religioso",vigente,8.779053,44.739167
14,01/L633/AL/01,Alessandria,Valmacca,Cascina Mezzano,"45°07'10,88''","8°36'16,43""",94,no,Platanus acerifolia (Aiton) Willd.,Platano comune,505,41,a) età e/o dimensioni,no,8.604564,45.139167
15,01/L881/AL/01,Alessandria,Vignale Monferrato,"Piazza del Popolo, 7","45°00'37,37''","8°23'46,73''",300,si,Cedrus atlantica (Endl.) Carrière ,Cedro dell'Atlante,405,23,a) età e/o dimensioni b) forma e portamento e) architettura vegetale,si,8.396314,45.022500
16,01/M120/AL/01,Alessandria,Volpedo,Cascina Boffalora,"44°53'04,50''","9°00'27,72''",314,no,Quercus pubescens L.,Roverella,320 - 315,15,"a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico g) valore storico, culturale, religioso",no,9.007700,44.908611
17,01/A479/AT/01,Asti,Asti,Palazzo Alfieri - Corso Alfieri,"44°53'57,92''","8°11'52,05''",130,sì,Platanus acerifolia (Aiton) Willd,Platano comune,520,37,"a) età e/o dimensioni e) architettura vegetale g) valore storico, culturale, religioso",si,8.197792,44.905833
18,01/A812/AT/01,Asti,Berzano S. Pietro,Cascina Torrero,"45°05'58,45""","7°57'38,59""",410,no,Quercus pubescens L.,Roverella,320,17,b) forma e portamento f) pregio paesaggistico,no,7.960719,45.103056
19,01/B306/AT/01,Asti,Buttigliera d'Asti,Parco Maffei - Via Principe di Piemonte,"45°01'04,48''","7°56'27',20'",286,no,Quercus robur L.,Farnia ,460,22.5,a) età e/o dimensioni b) forma e portamento ,no,0.000000,"0.000000""7d56'27'.20'"".""45d01'04.48''"""
20,02/B991/AT/01,Asti,Casorzo ,Strada provinciale n.38 ,"45°00'17,70""","8°19'23,13""",188,no,Morus alba L. ,Gelso,240,7, b) forma e portamento,no,8.323092,45.022500
21,01/B991/AT/01,Asti,Casorzo,Chiesa parrocchiale Santa Maria della Piazza,"45°01'24,99''","8°20'01,67''",284,si,Aesculus hippocastanum L.,Ippocastano,400,18,"a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso",vigente ,8.333797,45.039167
22,01/C807/AT/01,Asti,Cocconato,Tuffo,"45°05'07,94""","8°04'51,72""",333,no,Ulmus minor Mill.,Olmo campestre,360,23,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico,no,8.081033,45.105833
23,01/D678/AT/01,Asti,Fontanile,Cornaleja,"44°45'29,30''","8°25'18,04''",207,no,Salix alba L.,Salice bianco,530,17,a) età e/o dimensioni,no,8.421678,44.772500
24,01/H468/AT/01,Asti,Rocchetta Tanaro,Val Du Ge',"44°51'36,00''","8°19'28,00''",140,no,Fagus sylvatica L.,Faggio ,315,25,d) rarità botanica,no,8.324444,44.872500
25,02/H468/AT/01,Asti,Rocchetta Tanaro,Cascina Sant'Emiliano,"44°52'08,67''","8°19'29,64''",150,no,Juniperus virginiana L. ,Ginepro della Virginia,290,14,a) età e/o dimensioni e) architettura vegetale f) pregio paesaggistico,si,8.324900,44.889167
26,01/A859/BI/01,Biella,Biella,Giardino pubblico A.M. Zumaglini - Piazza Vittorio Veneto,"45°33'45,74''","8°03'21,43''",398,sì,Cedrus atlantica (Endl.) Carrière ,Cedro dell'Atlante,450,25.5,a) età e/o dimensioni b) forma e portamento e) architettura vegetale,no,8.055953,45.572500
27,02/A859/BI/01,Biella,Biella,Giardino pubblico A.M. Zumaglini - Piazza Vittorio Veneto,"45°33'45,93''","8°03'18,55''",410,sì,Cedrus deodara (D.Don) G.Don,Cedro dell'Himalaya,670,37.5,a) età e/o dimensioni e) architettura vegetale,no,8.055153,45.572500
28,03/A859/BI/01,Biella,Biella,Giardino pubblico A.M. Zumaglini - Piazza Vittorio Veneto,"45°33'47,59''","8°03'21,39''",400,sì,Aesculus hippocastanum L.,Ippocastano ,380,30,a) età e/o dimensioni e) architettura vegetale,no,8.055942,45.572500
29,04/A859/BI/01,Biella,Biella,Chiavazza,"45°34'34,00''","8°03'36,00''",470,no,Quercus robur L.,Farnia ,575,25,a) età e/o dimensioni b) forma e portamento e) architettura vegetale,no,8.060000,45.589167
30,01/A876/BI/01,Biella ,Bioglio,Villa Madonna Dorotea (ex Villa Sella),"45°36'55,96''","8°08'30,84''",650,no,Castanea sativa Mill. ,Castagno,1150 -270,14,a) età e/o dimensioni e) architettura vegetale,vigente,8.141900,45.622500
31,02/A876/BI/01,Biella,Bioglio,Parco della ex Villa Sella,"45°36'54,94''","8°08'20,38''",651,no,Tilia platyphyllos Mill.,Tiglio nostrale,620,35,a) età e/o dimensioni b) forma e portamento e) architettura vegetale,no,8.138994,45.622500
32,01/G798/BI/01,Biella ,Pollone,Laghetto Parco della Burcina,"45°35'03,46''","8°00'33,25''",601,si,Insieme omogeneo di Sequoia sempervirens (D. Don) Endl,Sequoia sempreverde,515 (med) 600 (max),"40,0 (med) 45,0 (max)","a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso",vigente ,8.009236,45.605833
33,02/G798/BI/01,Biella,Pollone,Parco della Burcina,"45°35'04,44''","8°00'32,87''",613,no,Ilex aquifolium L.,Agrifoglio,237,18,a) età e/o dimensioni b) forma e portamento e) architettura vegetale,no,8.009131,45.605833
34,01/A124/CN/01,Cuneo,Alba,"Giardino ""Vittime dei Campi di Sterminio""","44°41'49,88''","8°01'56,75''",175,sì,Fagus sylvatica L. cv. asplenifolia,Faggio a foglie di asplenio,230 - 140 - 135,13,"a) età e/o dimensioni g) valore storico, culturale, religioso",no,8.032431,44.705833
35,02/A124/CN/01,Cuneo,Alba,Strada Castelgherlone,"44°40'58,93''","8°00'26,25''",172,sì,Insieme omogeneo di Morus alba L.,Gelso bianco,300 (med) 320 (max),"6,0 (med) 7,0 (max)","a) età e/o dimensioni g) valore storico, culturale, religioso",no,8.007292,44.689167
36,01/A555/CN/01,Cuneo,Bagnasco,Baraccone,"44°16'22,93""","8°04'57,13""",980,no,Acer platanoides L.,Acero riccio,228,28, b) forma e portamento,no,8.082536,44.289167
37,01/B111/CN/01,Cuneo,Bra,"Lo Monte - Strada Bria, 50","44°42'45,29''","7°50'25,36''",310,no,Zelkova carpinifolia (Pall.) K. Koch,Olmo del Caucaso,715,38,a) età e/o dimensioni d) rarità botanica,no,7.840378,44.719722
38,02/B111/CN/01,Cuneo,Bra,"Concentrico - Strada Mendicità Istruita, 20","44°41'44,76''","7°51'18,87''",280,sì,Aesculus hippocastanum L.,Ippocastano,320,20,a) età e/o dimensioni,no,7.855242,44.703056
39,01/C081/CN/01,Cuneo,Casteldelfino,Bosco dell'Alevé - Lago Bagnour,"44°36'47,07""","7°04'41,62""",2010,no,Pinus cembra L.,Pino cembro,360,18,a) età e/odimensioni b) forma e portamento,no,7.078228,44.619722
