ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
143,02/E400/OR/20,Oristano (Oristano),Laconi,Parco Aymerich,"39°51'15,06""","9°03'21,16""",540,si,Cedrus libani A. Richard,Cedro del Libano,440,29,a) età e/o dimensioni f) pregio paesaggistico ,vigente ,9.055050,39.856942
144,03/E400/OR/20,Oristano (Oristano),Laconi,Nuraghe Orrubiu,"39°53'54,22""","9°00'20,48""",450,no,Olea europaea subsp. oleaster (Hoffmanns. & Link) ,Olivastro,670,15,a) età e/o dimensioni,no,9.056597,39.854183
145,04/E400/OR/20,Oristano (Oristano),Laconi,Parco Aymerich,"39°51'24,99""","9°03'18,18""",580,si,Platanus orientalis L.,Platano orientale,450,25,a) età e/o dimensioni,vigente ,9.024561,39.858161
146,05/E400/OR/20,Oristano (Oristano),Laconi,Parco Aymerich,"39°51'15,06""","9°03'23,75""",550,si,Arbutus unedo L.,Corbezzolo,104,7.5,a) età e/o dimensioni b) forma e portamento,no,9.060697,39.817422
147,06/E400/OR/20,Oristano (Oristano),Laconi,Gedilis,"39°51'29,38""","9°01'28,42""",400,no,Pistacia lentiscus L. ,Lentisco,290,8,a) età e/o dimensioni,no,9.054522,39.854392
148,07/E400/OR/20,Oristano (Oristano),Laconi,Abbafrida,"39°49'02,72""","9°03'38,51""",350/400,no,Morus nigra L.,Gelso nero,480,7.5,a) età e/o dimensioni,no,9.054931,39.854653
149,08/E400/OR/20,Oristano (Oristano),Laconi,Giardino Aymerich,"39°51'15,81""","9°03'16,28""",500,si,Fagus sylvatica L.,Faggio pendulo,155,13.5,d) rarità botanica f) pregio paesaggistico,vigente ,9.002769,39.878092
150,09/E400/OR/20,Oristano (Oristano),Laconi,Giardino Aymerich,"39°51'16,75""","9°03'17,75""",500,si,Colletia cruciata Gill & Hook.,Collezia a croce,30,4,a) età e/o dimensioni d) rarità botanica,no,8.996900,39.880328
151,10/E400/OR/20,Oristano (Oristano),Laconi,Funtana Luscia,"39°52'41,13""","9°00'09,97""",240,no,Quercus pubescens Willd.,Roverella,370,18.5,a) età e/o dimensioni,no,9.062806,39.897853
152,11/E400/OR/20,Oristano (Oristano),Laconi,Sinzilesu,"39°52'49,18""","8°59'48,84""",230,no,Quercus ilex L.,Leccio,510,22.5,a) età e/o dimensioni,no,8.834703,40.153350
153,12/E400/OR/20,Oristano (Oristano),Laconi,Lardai,"39°53'52,27""","9°03'46,10""",450,no,Quercus pubescens Willd.,Roverella,400,18,a) età e/o dimensioni,no,8.664172,40.179433
154,01/F934/OR/20,Oristano (Oristano),Norbello,Santa Vittoria – Pardu 'e Sella,"40°09'12,06""","8°50'04,93""",321,no,Quercus suber L.,Sughera,412,14,a) età e/o dimensioni,no,8.577197,40.114631
155,01/I374/OR/20,Oristano (Oristano),Santu Lussurgiu,San Leonardo di Siete Fuentes,"40°10'45,96''","8°39'51,02''",684,si,Castanea sativa Mill.,Castagno,477 - 63,11.5,a) età e/o dimensioni c) valore ecologico,vigente,8.904061,39.751606
156,01/I605/OR/20,Oristano (Oristano),Seneghe,Birdambulis,"40°06'52,67''","8°34'37,91''",750,no,Quercus ilex L.,Leccio,580,13,a) età e dimensioni b) forma e portamento,vigente,8.877075,40.128825
157,02/I749/OR/20,Oristano (Oristano),Sini,Parco comunale - Via Argiolas,"39°45'05,78''","8°54'14,62''",230,si,Olea europaea L.,Olivo,775,8,a) età e dimensioni b) forma e portamento,vigente,8.828167,39.847747
158,01/I778/OR/20,Oristano (Oristano),Soddì,Via Torino,"40°07'43,77""","8°52'37,47""",252,si,Celtis australis L.,Bagolaro ,320,9,a) età e/o dimensioni,vigente,8.750078,40.000439
159,01/L508/OR/20,Oristano (Oristano),Usellus,Pitixi,"39°50'51,89""","8°49'41,40""",200,no,Quercus suber L.,Sughera,525,16,a) età e/o dimensioni,no,8.783997,39.858053
160,01/L991/OR/20,Oristano (Oristano),Villanova Truschedu,San Gemiliano,"40°00'01,58""","8°45'00,28""",56,no,Olea europaea subsp. oleaster (Hoffmanns. & Link) ,Olivastro,600,12,a) età e/o dimensioni,no,9.025850,40.453656
161,01/M030/OR/20,Oristano (Oristano),Villaurbana,Sa Meliana,"39°51'28,99''","8°47'02,39''",287,no,Phillyrea latifolia L.,Fillirea,156,5,a) età e/o dimensioni b) forma e portamento,vigente,9.146236,40.755256
162,01/A287/SS/20,Sassari (Sassari),Anela,Caserma forestale,"40°27'13,16""","9°01'33,06""",999,no,Fagus sylvatica L.,Faggio,232,28,a) età e/o dimensioni,vigente,8.995278,40.423333
163,01/A789/OT/20,Sassari (Olbia Tempio),Berchidda,Sa Rujas,"40°45'18,92''","9°08'46,45''",173,no,Insieme omogeneo di Genista aetnensis (Biv.) DC.,Ginestra dell'Etna,167 (med) 197 (max),"8,5 (med) 10,0 (max)",a) età e/o dimensioni f) pregio paesaggistico ,vigente ,9.049314,40.895331
164,01/A977/SS/20,Sassari (Sassari) ,Bono ,Sos Nibberos,"40°25'24,00''","8°59'43,00''",1033,no,Taxus baccata L.,Tasso,530,19,a) età e/o dimensioni b) forma e portamento d) rarità botanica,vigente,8.963333,40.427222
165,01/B063/OT/20,Sassari (Olbia Tempio),Bortigiadas,Filigheddu Comunali,"40°53'43,19""","9°02'57,53""",506,no,Castanea sativa Mill.,Castagno,585,19,a) età e/o dimensioni,vigente,9.066811,40.513875
