ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/A028/CT/19,Catania,Acireale ,La Timpa - Via Santa Maria della Scala,"37°37'12,21""","15°10'24,99""",114,si,Platanus acerifolia (Aiton) Willd.,Platano comune,350,8,a) età e/o dimensioni f) pregio paesaggistico ,no,14.920347,37.726861
2,01/A056/CT/19,Catania,Adrano,Galvarina - Prato Fiorito,"37°43'36,70""","14°55'13,25""",1800,no,Pinus nigra subsp. laricio Maire,Pino laricio,300,15, b) forma e portamento f) pregio paesaggistico,no,14.927511,37.766092
3,01/B202/CT/19,Catania,Bronte,Monte Egitto,"37°45'57,93""","14°55'39,04""",1600,no,Quercus pubescens Willd,Roverella,480,15,a) età e/o dimensioni f) pregio paesaggistico ,no,14.920031,37.756211
4,02/B202/CT/19,Catania,Bronte,Monte Lepre,"37°45'22,36""","14°55'12,11""",1550,no,Quercus pubescens Willd,Roverella,430,11,a) età e/o dimensioni f) pregio paesaggistico,no,14.951933,37.756647
5,03/B202/CT/19,Catania,Bronte,Poggio La Caccia,"37°45'23,93""","14°57'06,96""",1830,no,Betula aetnensis Raf,Betulla dell'Etna,197,17,a) età e/o dimensioni d) rarità botanica f) pregio paesaggistico,no,14.468600,37.098325
6,01/B428/CT/19,Catania,Caltagirone,Molara ,"37°05'53,97""","14°28'06,96""",220,no,Quercus suber L. ,Sughera,650,11,a) età e/o dimesioni b) forma e portamento f) pregio paesaggistico,si,14.519217,37.231394
7,02/B428/CT/19,Catania,Caltagirone,Giardini Vittorio Emanuele ,"37°13'53,02""","14°31'09,18""",539,si,Cedrus atlantica (Endl.) Manetti ex Carrière,Cedro dell'Atlante,280,16,e) architettura vegetale ,no,15.082792,37.512461
8,01/C351/CT/19,Catania,Catania,Villa Bellini,"37°30'44,86""","15°04'58,05""",29,si,Ficus macrophylla Desf. Ex Pers.,Fico magnolioide,1400,30,"a) età e/o dimensioni b) forma e portamento d) rarità botanica g) valore storico, culturale, religioso",no,15.085147,37.510808
9,02/C351/CT/19,Catania,Catania,Villa Bellini,"37°30'38,91""","15°05'06,53""",27,si,Araucaria bidwillii Hook,Pino del Queensland,340,40,a) età e/o dimensioni b) forma e portamento d) rarità botanica e) architettura vegetale f) pregio paesaggistico,no,15.085181,37.510583
10,03/C351/CT/19,Catania,Catania,Villa Bellini,"37°30'38,10""","15°05'06,65""",27,si,Araucaria bidwillii Hook,Pino del Queensland,300,45,a) età e/o dimensioni d) rarità botanica e) architettura vegetale f) pregio paesaggistico,no,15.073633,37.517478
