ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/D547/MT/17,Matera,Ferrandina,Fosso di Carpatiello,"40°29'02,70''","16°28'60,00''",340,no,Olea europaea L.,Olivo,550,6.5,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico,si,16.468361,40.488361
2,02/D547/MT/17,Matera,Ferrandina,Fosso di Carpatiello,"40°29'18,10''","16°28'06,10''",340,no,Olea europaea L.,Olivo,750,4.5,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico,si,16.468361,40.488361
3,03/D547/MT/17,Matera,Ferrandina,Fosso di Carpatiello,"40°29'18,10''","16°28'06,10''",340,no,Olea europaea L.,Olivo,750,7,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico,si,16.701944,40.610556
4,01/F052/MT/17,Matera,Matera,Masseria Malvezzi,"40°36'38,00""","16°42'07,00""",366,no,Quercus trojana Webb.,Fragno,210,15, c) valore ecologico d) rarità botanica,no,16.673833,40.621139
5,02/F052/MT/17,Matera,Matera,Masseria Selva Teresa,"40°37'16,10""","16°40'25,80"" ",367,no,Juniperus oxycedrus L.,Ginepro coccolone,190,11,a) età e/o dimensioni,no,16.598019,40.664333
6,03/F052/MT/17,Matera,Matera,Via Aldo Moro,"40°39'51,60""","16°35'52,87""",406,si,Pinus pinea L.,Pino domestico,290,22,c) valore ecologico,no,16.523917,40.725167
7,04/F052/MT/17,Matera,Matera,Masseria Lo Russo,"40°43'30,60""","16°31'26,10""",403,no,Quercus pubescens Willd.,Roverella ,496,15,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico,si,16.697972,40.688111
8,05/F052/MT/17,Matera,Matera,Masseria Monte Grosso,"40°41'17,20""","16°41'52,70'' ",377,no,Salix alba L.,Salice bianco,370,14,a) età e/o dimensioni,no,16.647222,40.612222
9,06/F052/MT/17,Matera,Matera,Masseria Passarelli,"40°36'44,00""","16°38'50,00""",151,no,Juniperus oxycedrus L.,Ginepro coccolone,107/122,5,b) forma e portamento,no,16.489722,40.650694
10,07/F052/MT/17,Matera,Matera,Colle Timmari - Fontana della Madonna,"40°39'02,50''","16°29'23,00""",385,no,Populus nigra L.,Pioppo nero,420,22,a) età e/o dimensioni,no,16.647222,40.612778
11,08/F052/MT/17,Matera,Matera,Masseria Passarelli,"40°36'46,00""","16°38'50,00""",159,no,Juniperus oxycedrus L.,Ginepro coccolone,132,5,a) età e/o dimensioni b) forma e portamento,no,16.598119,40.681944
12,09/F052/MT/17,Matera,Matera,Contrada La Vaglia,"40°40'55,00""","16°35'53,23""",333,si,Prunus mahaleb L.,Ciliegio canino,70/84/88/91,5,d) rarità botanica,no,16.700611,40.517361
13,01/F637/MT/17,Matera,Montescaglioso,Oliveto dei Monaci,"40°31'02,50''","16°42'02,20''",180,no,Pinus halepensis Mill.,Pino d'Aleppo,410,20,a) età e/o dimensioni,no,16.480556,40.151556
14,01/H591/MT/17,Matera,Rotondella,Bosco Finocchio,"40°09'05,60''","16°28'50,00''",650,no,Fraxinus angustifolia Vahl,Frassino meridionale ,300,7,a) età e/o dimensioni c) valore ecologico d) rarità botanica ,no,16.328194,40.539028
15,01/H687/MT/17,Matera,Salandra,Il Padre,"40°32'20,50''","16°19'41,50''",500,no,Quercus pubescens Willd.,Roverella ,495,24,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico,si,16.319092,40.525392
16,02/H687/MT/17,Matera,Salandra,Villa Comunale ,"40°31'31,41''","16°19'08,73''",560,si,Pinus halepensis Mill.,Pino d'Aleppo,360,25,a) età e/o dimensioni,no,16.385072,40.111539
17,01/H888/MT/17,Matera,San Giorgio Lucano,Fontana Vecchia,"40°06'41,54''","16°23'06,26''",300,no,Quercus ilex L.,Leccio,220,17, f) pregio paesaggistico ,si,16.029700,40.621600
18,01/A131/PZ/17,Potenza,Albano di Lucania,Bosco Cupolicchio,40°37'17.76'',"16°01'46,92''",1060,no,Quercus frainetto Ten. ,Farnetto,416,28.5,a) età e/o dimensioni,no,15.726528,40.772583
19,01/A519/PZ/17,Potenza,Avigliano,Frusci,"40°46'21,30''","15°43'35,50''",1040,no,Quercus cerris L.,Cerro,490,18,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico ,no,15.720000,40.731944
20,02/A519/PZ/17,Potenza,Avigliano,Villa Monastero,"40°43'55,00''","15°43'12,00''",890,si,Insieme omogeneo di Populus nigra L.,Pioppo nero,337 (med) 500 (max),"26,0 (med) 30,0 (max)",a) età e/o dimensioni f) pregio paesaggistico,si,15.687367,40.943097
21,01/A666/PZ/17,Potenza,Barile,Torre di Bozza,"40°56'35,15''","15°41'14,52''",540,no,Pinus pinea L.,Pino domestico,300,15,b) forma e portamento f) pregio paesaggistico,si,15.601861,40.772239
22,01/A743/PZ/17,Potenza,Bella,Valle dei Tassi,"40°46'20,06''","15°36'06,70'",1095,no,Pyrus pyraster (L.) Burgsd.,Pero selvatico,245,25,a) età e/o dimensioni b) forma e portamento,no,15.586111,40.771111
23,02/A743/PZ/17,Potenza,Bella,Acqua del Conte,"40°46'16,00''","15°35'10,00''",950,no,Quercus cerris L.,Cerro,400,32,a) età e/o dimensioni,no,15.589444,40.768056
24,03/A743/PZ/17,Potenza,Bella,Acqua del Mulinello,"40°46'05,00''","15°35'22,00''",870,no,Fagus sylvatica L.,Faggio,390,35,a) età e/o dimensioni,no,15.534844,40.756889
25,04/A743/PZ/17,Potenza,Bella,Rocca,"40°45'24,80''","15°32'05,44''",620,no,Quercus pubescens Willd.,Roverella ,425,22,a) età e/o dimensioni,no,15.531208,40.735056
26,05/A743/PZ/17,Potenza,Bella,Casale,"40°44'6,2''","15°31'52,35''",480,no,Quercus pubescens Willd.,Roverella ,425,25,a) età e/o dimensioni,no,15.595556,40.446667
27,01/B173/PZ/17,Potenza,Brienza,Valle Cerasa,"40°26'48,00''","15°35'44,00''",889,no,Quercus cerris L.x Quercus pubescens Willd.,Ibrido Cerro-Roverella,774,25,"a) età e/o dimensioni g) valore storico, culturale, religioso",si,15.856628,40.481347
28,01/B440/PZ/17,Potenza,Calvello,Fosso degli Ulivi,"40°28'52,85''","15°51'23,86''",740,no,Populus nigra L.,Pioppo nero,380,25,a) età e/o dimensioni f) pregio paesaggistico ,no,16.097739,40.576658
29,01/B549/PZ/17,Potenza,Campomaggiore,Campomaggiore Vecchio,"40°34'35,97''","16°05'51,86''",533,no,Pinus pinea L.,Pino domestico,368,19.2,d) rarità botanica e) architettura vegetale f) pregio paesaggistico ,si,16.097353,40.576503
30,02/B549/PZ/17,Potenza,Campomaggiore,Campomaggiore Vecchio,"40°34'35,41''","16°05'50,47''",533,no,Sequoiadendron giganteum (Lindl) J. Buchholz,Sequoia gigante ,340,10,"d) rarità botanica e) architettura vegetale f) pregio paesaggistico g) valore storico, culturale, religioso ",si,15.962833,40.717333
31,01/B580/PZ/17,Potenza,Cancellara,Fasano,"40°43'02,40''","15°57'46,20''",630,no,Quercus pubescens Willd.,Roverella ,480,14,a) età e/o dimensioni b) forma e portamento ,no,15.929633,40.719425
32,02/B580/PZ/17,Potenza,Cancellara,Fontanili,"40°43'09,93''","15°55'46,68''",730,no,Quercus pubescens Willd.,Roverella ,480,16,a) età e/o dimensioni b) forma e portamento ,no,16.175219,40.064989
33,01/C619/PZ/17,Potenza,Chiaromonte,Grottole,"40°03'53,96''","16°10'30,79''",460,no,Quercus suber L.,Sughera,345,22,a) età e/o dimensioni d) rarità botanica ,no,15.707417,40.824778
