ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/A235/CH/13,Chieti,Altino,Le Macchie – Articciaro," 42°05'14,00'' ","14°20'35,00'' ",215,no,Juniperus oxycedrus L.,Ginepro coccolone,125,7,b) forma e portamento c) valore ecologico,no,14.343056,42.122500
2,01/A485/CH/13,Chieti,Atessa,Piana Sant'Antonio,"42°06'41,82'' ","14°25'55,52''",125,si,Quercus pubescens Willd.,Roverella ,355,17,a) età e/o dimensioni,no,14.432089,42.139167
3,01/A956/CH/13,Chieti,Bomba,Cementificio,"42°03'07,95'' ","14°21'48,11''",400,no,Quercus pubescens Willd.,Roverella ,530,16,a) età e/o dimensioni,no,14.363364,42.089167
4,02/A956/CH/13,Chieti,Bomba,Cementificio,"42°03'07,00'' ","14°21'49,00''",400,no,Quercus pubescens Willd.,Roverella ,475,16,a) età e/o dimensioni,no,14.363611,42.089167
5,03/A956/CH/13,Chieti,Bomba,Ponte Ballevino,"42°01'34,91'' ","14°22'09,74""",475,no,Quercus pubescens Willd.,Roverella ,439,20,a) età e/o dimensioni,no,14.369372,42.055833
6,02/B057/CH/13,Chieti,Borrello,Ruvatella,"41°54'57,00''","14°19'28,00''",810,no,Populus tremula L.,Pioppo tremolo,240 - 184,20,a) età e/o dimensioni f) pregio paesaggistico,no,14.324444,41.939167
7,05/B057/CH/13,Chieti,Borrello,Pareti,"41°55'33,00'' ","14°18'42,00''",641,no,Quercus pubescens Willd.,Roverella ,376,16,a) età e/o dimensioni f) pregio paesaggistico,no,14.311667,41.955833
8,07/B057/CH/13,Chieti,Borrello,Pareti,"41°55'32,00'' ","14°18'42,00''",641,no,Quercus pubescens Willd.,Roverella ,250 - 230,12,a) età e/o dimensioni f) pregio paesaggistico,no,14.311667,41.955833
9,08/B057/CH/13,Chieti,Borrello,Fonte del Sorbo,"41°54'33,24'' ","14°18'24,22''",793,no,Salix alba L.,Salice bianco,397,18,a) età e/o dimensioni c) valore ecologico,no,14.306728,41.939167
10,09/B057/CH/13,Chieti,Borrello,Torrente Verde,"41°54'52,20'' ","14°19'24,31''",772,no,Salix eleagnos Scop.,Salice ripaiolo,300 - 150,8,a) età e/o dimensioni c) valore ecologico,no,14.323419,41.939167
11,10/B057/CH/13,Chieti,Borrello,Quattro ricotte,"41°54'44,85'' ","14°18'11,98''",732,no,Quercus cerris L.,Cerro,273 - 200 - 155 ,20,a) età e/o dimensioni f) pregio paesaggistico,no,14.303328,41.939167
12,12/B057/CH/13,Chieti,Borrello,Strada Provinciale n. 155,"41°54'57,34''","14°19'02,43''",809,no,Ulmus minor Mill.,Olmo campestre,100,15,d) rarità botanica ,no,14.317342,41.939167
13,14/B057/CH/13,Chieti,Borrello,Torrente verde,"41°54'53,00'' ","14°19'23,00''",772,no,Salix alba L.,Salice bianco,338,18,a) età e/o dimensioni f) pregio paesaggistico,no,14.323056,41.939167
14,16/B057/CH/13,Chieti,Borrello,Piana del Verde,"41°54'39,27'' ","14°20'03,40''",804,no,Salix alba L.,Salice bianco,432,14,a) età e/o dimensioni c) valore ecologico f) pregio paesaggistico,no,14.334278,41.939167
15,17/B057/CH/13,Chieti,Borrello,Via 7 Settembre,"41°55'08,90'' ","14°18'18,08''",798,si,Crataegus monogyna Jacq.,Biancospino,110,9,a) età e/o dimensioni f) pregio paesaggistico,no,14.305022,41.955833
16,01/B238/CH/13,Chieti,Bucchianico,Annunziata,"42°18'00,99'' ","14°09'39,79''",110,no,Morus alba L.,Gelso bianco,431,6.60,a) età e/o dimensioni,no,14.161053,42.339167
17,02/B238/CH/13,Chieti,Bucchianico,Piane,"42°18'20,11'' ","14°11'18,54''",282,si,Platanus orientalis L.,Platano orientale,421,30,a) età e/o dimensioni b) forma e portamento ,no,14.188483,42.339167
18,01/C428/CH/13,Chieti,Celenza Sul Trigno,Vallone vecchio,"41°53'29,00'' ","14°35'45,00''",215,no,Quercus pubescens Willd.,Roverella ,585,15,a) età e/o dimensioni,no,14.595833,41.922500
19,02/C428/CH/13,Chieti,Celenza Sul Trigno,Colle dei Santi – Fonte delle Vigne,"41°51'18,00'' ","14°35'24,00''",270,no,Juniperus oxycedrus L.,Ginepro coccolone,105,13,a) età e/o dimensioni,no,14.590000,41.889167
20,01/D996/CH/13,Chieti,Gessopalena,Santa Croce Coccioli,"42°02'52,34''","14°15'49,83''",510,no,Quercus pubescens Willd.,Roverella ,410,18,a) età e/o dimensioni,no,14.263842,42.072500
21,01/E052/CH/13,Chieti,Gissi,Rosario Serra,"42°00'39,02''","14°33'14,00''",500,no,Quercus pubescens Willd.,Roverella ,456,15,a) età e/o dimensioni b) forma e portamento ,no,14.553889,42.039167
22,01/E243/CH/13,Chieti,Guardiagrele,Colle Spedale,"42°11'17,86''","14°15'36,05''",480,si,Fraxinus angustifolia Vahl,Frassino meridionale ,384,8,a) età e/o dimensioni d) rarità botanica,no,14.260014,42.222500
23,02/E243/CH/13,Chieti,Guardiagrele,Caprafico,"42°09'12,15''","14°14'11,51''",470,no,Quercus pubescens Willd.,Roverella ,425,15,a) età e/o dimensioni b) forma e portamento ,si,14.236531,42.189167
24,01/G441/CH/13,Chieti,Perano,Ponte Pianello,"42°06'56,11''","14°23'54,07''",135,no,Quercus pubescens Willd.,Roverella ,443,17,a) età e/o dimensioni b) forma e portamento ,si,14.398353,42.139167
25,01/H052/CH/13,Chieti,Pretoro,Fonte Cese – Valle della Madonna,"42°12'26,22''","14°06'35,99''",765,no,Castanea sativa Mill.,Castagno,360 - 188,14,"a) età e/o dimensioni g) valore storico, culturale, religioso ",no,14.109997,42.239167
26,02/H052/CH/13,Chieti,Pretoro,Ponte - Crocifisso,"42°13'09,22''","14°09'06,91''",417,si,Quercus pubescens Willd.,Roverella ,384,19,a) età e/o dimensioni,no,14.151919,42.255833
27,01/H184/CH/13,Chieti,Rapino,Madonna del Carpineto,"42°12'54,86''","14°11'32,96''",354,si,Quercus pubescens Willd.,Roverella ,421,19,a) età e/o dimensioni b) forma e portamento,no,14.192489,42.239167
28,01/H424/CH/13,Chieti,Roccamontepiano,Via Montepiano,"42°14'28,06''","14°07'42,79''",500,si,Quercus pubescens Willd.,Roverella ,402,17,a) età e/o dimensioni,no,14.128553,42.272500
29,02/H424/CH/13,Chieti,Roccamontepiano,Convento Madonna della Neve,"42°14'29,14''","14°07'21,77''",563,no,Quercus pubescens Willd.,Roverella ,390,13,a) età e/o dimensioni,no,14.122714,42.272500
30,03/H424/CH/13,Chieti,Roccamontepiano,Pomaro,"42°16'13,03''","14°09'03,81''",300,no,Quercus pubescens Willd.,Roverella ,500,15,a) età e/o dimensioni,no,14.151058,42.305833
31,01/H784/CH/13,Chieti,San Buono,Vallone dei Valloni,"41°59'16,11''","14°34'42,00''",340,no,Quercus pubescens Willd.,Roverella ,554,10.50,a) età e/o dimensioni,no,14.578333,42.022500
32,01/A187/AQ/13,L'Aquila,Alfedena,Valle Porcile,"41°42'40,01"" ","13°58'07,99""",1375,no,Acer pseudoplatanus L.,Acero di monte,538,25,a) età e/o dimensioni f) pregio paesaggistico,no,13.968886,41.736389
33,02/A187/AQ/13,L'Aquila,Alfedena,Piazza Umberto I,"41°44'04,45"" ","14°01'59,13""",900,si,Populus nigra L.,Pioppo nero,535,30,"a) età e/o dimensioni g) valore storico, culturale, religioso ",no,14.033092,41.772500
34,03/A187/AQ/13,L'Aquila,Alfedena,Val Iavona,"41°42'35,00"" ","13°59'34,00""",1350,no,Prunus avium L.,Ciliegio selvatico,245,13.5,a) età e/o dimensioni,no,13.992778,41.736389
35,04/A187/AQ/13,L'Aquila,Alfedena,Monte San Nicola La Rocca,"41°41'41,02"" ","14°00'21,99""",1296,no,Pyrus pyraster (L.) Burgsd.,Pero selvatico,228,22,a) età e/o dimensioni,no,14.006108,41.722500
36,01/B677/AQ/13,L'Aquila,Cappadocia,Gole di Fosso Fioio,"41°59'08,00"" ","13°12'13,00""",967,no,Abies alba Mill.,Abete bianco,225,35,f) pregio paesaggistico,no,13.203611,42.019722
37,02/B677/AQ/13,L'Aquila,Cappadocia,Gole di Fosso Fioio,"41°59'08,00"" ","13°12'13,00""",1037,no,Abies alba Mill.,Abete bianco,220,30,f) pregio paesaggistico,no,13.203611,42.019722
38,03/B677/AQ/13,L'Aquila,Cappadocia,Valle di Camporotondo,"41°58'16,00"" ","13°17'24,00""",1545,no,Acer pseudoplatanus L.,Acero di monte,600,30,a) età e/o dimensioni ,no,13.290000,42.003056
39,04/B677/AQ/13,L'Aquila,Cappadocia,Valle di Camporotondo,"41°58'17,00"" ","13°17'25,00""",1543,no,Acer pseudoplatanus L.,Acero di monte,255,25,a) età e/o dimensioni b) forma e portamento ,no,13.290278,42.003056
40,05/B677/AQ/13,L'Aquila,Cappadocia,Valle di Camporotondo,"41°58'17,00"" ","13°17'25,00""",1576,no,Acer pseudoplatanus L.,Acero di monte,300,28,a) età e/o dimensioni b) forma e portamento,no,13.290278,42.003056
41,06/B677/AQ/13,L'Aquila,Cappadocia,Valle di Camporotondo,"41°58'14,00"" ","13°17'24,00""",1576,no,Acer pseudoplatanus L.,Acero di monte,440,30,a) età e/o dimensioni,no,13.290000,42.003056
42,07/B677/AQ/13,L'Aquila,Cappadocia,Valle di Camporotondo,"41°58'12"" ","13°17'26""",1571,no,Acer pseudoplatanus L.,Acero di monte,670,35,a) età e/o dimensioni,no,13.290556,42.003056
43,01/C083/AQ/13,L'Aquila,Castel del Monte,Codorama,"42°23'32,03"" ","13°46'14,16""",1432,no,Taxus baccata L.,Tasso,580,7,a) età e/o dimensioni b) forma e portamento ,no,13.770600,42.419722
44,02/C083/AQ/13,L'Aquila,Castel del Monte,Via Roma,"42°21'53,86"" ","13°43'34,10""",1472,si,Populus nigra L.,Pioppo nero,418,16,"a) età e/o dimensioni g) valore storico, culturale, religioso ",no,13.726139,42.386389
