ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/A388/GE/07,Genova,Arenzano,Villa Pallavicini,"44°24'04,20""","8°40'53,76""",10,si,Cedrus libani A. Richard,Cedro del Libano,350,25,d) rarità botanica,no,8.681600,44.422500
2,02/A388/GE/07,Genova,Arenzano,Villa Pallavicini,"44°24'06,00""","8°41'01,00""",12,si,Cinamomum glanduliferum (Wall.) Meisn.,Falsa canfora,350,15,a) età e/o dimensioni ,no,8.683611,44.422500
3,03/A388/GE/07,Genova,Arenzano,La Colletta,"44°23'58,05""","8°39'48,53""",50,si,Pinus pinea L.,Pino domestico,390,18,a) età e/o dimensioni ,no,8.663481,44.405833
4,01/B067/GE/07,Genova,Borzonasca,Il Poggio,"44°26'358,65""","9°20'35,05""",675,no,Castanea sativa Mill.,Castagno,800,11,a) età e/o dimensioni ,no,9.343069,44.458611
5,02/B067/GE/07,Genova,Borzonasca,Abbazia di Borzone,"44°25'24,78""","9°24'36,95""",335,no,Cupressus sempervirens L.,Cipresso comune,325,26,a) età e/o dimensioni ,no,9.410264,44.441944
6,01/B956/GE/07,Genova,Casella,"Via Fieschi, 45","44°32'14,44""","8°59'48,05""",428,si,Cedrus libani A. Richard,Cedro del Libano,440,30,a) età e/o dimensioni ,no,8.996681,44.555833
7,01/D969/GE/07,Genova,Genova,Nervi - Villa Gropallo,"44°22'54,76""","9°02'47,12""",32,si,Jubaea chilensis Johow.,Palma gigante del Cile,396,15,a) età e/o dimensioni d) rarità botanica,no ,9.046422,44.391944
8,02/D969/GE/07,Genova,Genova,Villa Brignole Sale Duchessa di Galliera,"44°25'47,37""","8°45'02,34''",26,si,Platanus orientalis L.,Platano orientale,497,27,a) età e/o dimensioni d) rarità botanica,no,8.750650,44.439167
9,03/D969/GE/07,Genova,Genova,Nervi - Salita Morelli 8/11,"44°23'08,78''","9°02'09,62''",50,si,Schinus molle L.,Falso pepe,213-186,12.5,a) età e/o dimensioni d) rarità botanica,no ,9.036006,44.408611
10,04/D969/GE/07,Genova,Genova ,Nervi - Villa Groppallo,"44°22'57,46''","9°02'36,57'",29,si,Araucaria bidwillii Hook.,Pino del Qeensland,608,28,a) età e/o dimensioni d) rarità botanica,no,9.043492,44.391944
