ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/A155/CZ/18,Catanzaro,Albi,Villaggio Buturo - Centro visite,"39°04'24,07'' ","16°38'11,89''",1558,no,Fagus sylvatica L.,Faggio,460,27,a) età e/o dimensioni ,no,16.638469,39.072611
2,04/A155/CZ/18,Catanzaro,Albi,Villaggio Buturo - Centro visite,"39°04'21,40'' ","16°38'18,49''",1533,no,Fagus sylvatica L.,Faggio,470,36,a) età e/o dimensioni ,no,16.640200,39.068600
3,06/A155/CZ/18,Catanzaro,Albi,Villaggio Buturo - Casa Giulia,"39°04'06,96'' ","16°38'24,72''",1552,no,Abies alba Mill.,Abete bianco,410,34,a) età e/o dimensioni ,no,16.722900,39.040800
4,01/C542/CZ/18,Catanzaro,Cerva,Melitani,"39°02'26,88'' ","16°43'22,44''",1200,no,Castanea sativa Mill.,Castagno ,930,25,"a) età e/o dimensioni b) forma e portamento c) valore ecologico e) architettura vegetale f) pregio paesaggistico g) valore storico, culturale, religioso",si,16.332519,39.823075
5,01/D218/CZ/18,Catanzaro,Curinga,Sant'Elia - Vrisi,"39°49'23,07'' ","16°19'57,07''",460,no,Platanus orientalis L.,Platano orientale,1200,21,a) età e/o dimensioni c) valore ecologico d) rarità botanica ,no,16.616100,39.095000
6,01/L070/CZ/18,Catanzaro,Taverna,Frainella - Colle del Telegrafo,"39°05'42,00'' ","16°36'57,96''",1542,no,Abies alba Mill.,Abete bianco,600,40,a) età e/o dimensioni ,no,16.579967,39.102778
7,02/L070/CZ/18,Catanzaro,Taverna,Pomo,"39°06'10,00'' ","16°34'47,88''",1472,no,Pinus nigra subsp. laricio Maire,Pino laricio,530,23,a) età e/o dimensioni b) forma e portamento d) rarità botanica,no,16.572700,39.113300
8,03/L070/CZ/18,Catanzaro,Taverna,Marù,"39°06'47,88'' ","16°34'21,72''",1554,no,Fagus sylvatica L.,Faggio,440,32,a) età e/o dimensioni c) valore ecologico ,no,16.640308,39.131917
9,07/L070/CZ/18,Catanzaro,Taverna,Gariglione,"39°07'54,90'' ","16°38'25,11''",1664,no,Insieme omogemeo di Abies alba Mill.,Abete bianco ,440 (med) 460 (max),"37,5 (med) 40,0 (max)",a) età e/o dimensioni c) valore ecologico d) rarità botanica ,no,16.640803,39.133017
10,10/L070/CZ/18,Catanzaro,Taverna,Gariglione,"39°07'58,86'' ","16°38'26,89''",1714,no,Fagus sylvatica L.,Faggio,415,30,a) età e/o dimensioni c) valore ecologico,no,16.636944,39.134167
