ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/A123/FR/12,Frosinone,Alatri,Porta San Pietro - Largo Ottavio Ceci,"41°43'39,26''","13°20'42,66''",458,si,Insieme omogeneo di Platanus acerifolia (Aiton) Willd.,Platano comune,338 (med) 385 (max),"20,0 (med) 22,0 (max)","a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso",si,13.831806,41.495475
2,01/C034/FR/12,Frosinone,Cassino,Largo Molise ,"41°29'43,71''","13°49'54,50''",44,si,Platanus acerifolia (Aiton) Willd.,Platano comune,520,22,"a) età e/o dimensioni g) valore storico, culturale, religioso",si,13.257500,41.601667
3,02/G374/FR/12,Frosinone,Patrica,"Tufo - Via Casetta del Colle, 50","41°36'06,00""","13°15'27,00""",210,no,Quercus pubescens L.,Roverella,663,34.5,a) età e/o dimensioni ,si,13.277942,41.592300
4,03/G374/FR/12,Frosinone,Patrica,Colle Cappuccio - Strada Provinciale n. 117,"41°35'32,28""","13°16'40,59"" ",180,no,Celtis australis L.,Bagolaro,425,21,a) età e/o dimensioni ,si,13.228406,41.573914
5,05/G374/FR/12,Frosinone,Patrica,Monte Cacume,"41°34'26,09""","13°13'42,26"" E",985,no,Taxus baccata L.,Tasso,340,9.5,a) età e/o dimensioni ,si,13.232500,41.569489
6,06/G374/FR/12,Frosinone,Patrica,Fonte Scocciapane - Fontana Cerasa,"41°34'10,16""","13°13'57,00"" ",727,no,Quercus ilex L.,Leccio,520,15,a) età e/o dimensioni ,si,13.850136,41.670306
7,01/I697/FR/12,Frosinone,Settefrati,Piazza dei Preti,"41°40'13,10""","13°51'00,49"" ",796,si,Tilia cordata Mill.,Tiglio selvatico,420,18.5,"a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso",si,13.037256,41.569567
8,01/A707/LT/12,Latina,Bassiano,Fonte della Fota,"41°34'10,44''","13°02'14,12'",695,no ,Quercus robur L.,Farnia,536,25,a) età e/o dimensioni b) forma e portamento ,si,13.530236,41.389683
9,01/B527/LT/12,Latina,Campodimele,Piazza del Municipio,"41°23'22,86'","13°31'48,85''",629,si,Ulmus minor Mill.,Olmo campestre,380,6,a) età e/o dimensioni b) forma e portamento ,no,13.324600,41.370800
10,01/F616/LT/12,Latina,Monte San Biagio,San Vito - Via Dupante,"41°22'14,88''"," 13°19'28,56'",62,no,Quercus × morisii Borzí,Leccio-sughera,427,26,a) età e/o dimensioni b) forma e portamento d) rarità botanica f) pregio paesaggistico,si,13.322500,41.370800
11,02/F616/LT/12,Latina,Monte San Biagio,San Vito - Via Dupante,"41°22'14,88''"," 13°19'21,00'",72,no,Quercus suber L.,Sughera,525,27,a) età e/o dimensioni b) forma e portamento ,no,13.308556,42.650925
12,01/A258/RI/12,Rieti,Amatrice,Sant'Angelo - Cimitero,"42°39'03,33''","13°18'30,80""",1037,si,Quercus cerris L.,Cerro,707,23,"a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico g) valore storico, culturale, religioso",si,13.344817,42.617031
13,02/A258/RI/12,Rieti,Amatrice,Preta,"42°37'01,31''","13°20'41,34""",1180,si,Larix decidua Mill.,Larice,322,23.5,b) forma e portamento d) rarità botanica f) pregio paesaggistico,si,13.344233,42.616253
14,03/A258/RI/12,Rieti,Amatrice,Preta,"42°36'58,51''","13°20'39,24""",1165,si,Quercus cerris L.,Cerro,400,24,a) età e/o dimensioni f) pregio paesaggistico,si,13.225519,42.625947
