ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/A129/BG/03,Bergamo,Albano Sant'Alessandro,Via Valle d'Albano,"45°41'55,00"" ","9°47'01,00"" ",243,no,Insieme omogeneo di Quercus pubescens L.,Roverella ,390 (med) 440 (max),"20,0 (med) 25,0 (max)",a) età e/o dimensioni,no,9.777189,45.687431
2,02/A129/BG/03,Bergamo,Albano Sant'Alessandro,"Via Monte Grappa, 31","45°41'14,75"" ","9°46'37,88""",243,no,Insieme omogeneo di Morus alba L. e Morus nigra L.,Gelso bianco e Gelso nero, 330 (med) 370 (max),"10,0 (med) 10,0 (max)",a) età e/o dimensioni,no,9.568447,45.488414
3,01/B971/BG/03,Bergamo,Casirate d'Adda,Via Cimitero,"45°29'18,29''","9°34'06,41''",114,si,Platanus acerifolia (Aiton) Willd.,Platano comune,570,24.02,a) età e/o dimensioni c) valore ecologico f) pregio paesaggistico ,si,9.478925,45.739422
4,01/C728/BG/03,Bergamo,Cisano Bergamasco,Piazza Caduti della Patria,"45°44'21,92''","9°28'44,13''",267,si,Cedrus libani A.Richard,Cedro del Libano,420,25,a) età e/o dimensioni f) pregio paesaggistico,no,9.830186,45.676531
5,01/E100/BG/03,Bergamo,Gorlago,"Via Vimercati Sozzi, 4 ","45°40'35,51"" ","9°49'48,67"" ",237,si,Quercus suberL.,Sughera,320,18, d) rarità botanica e) valore ecologico ,si,10.073686,45.814858
6,01/E704/BG/03,Bergamo,Lovere,Rotonda di Via Tadini,"45°48'53,49"" ","10°04'25,27"" ",208,si,Aesculus hippocastanum L.,Ippocastano,305,16,a) età e/o dimensioni f) pregio paesaggistico,vigente,10.079003,45.819381
7,02/E704/BG/03,Bergamo,Lovere,Villa Milesi,"45°49'09,77"" ","10°04'44,41"" ",208,si,Cedrus deodara (D.Don) G.Don,Cedro dell'Himalaya,584,25,"a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso ",vigente,9.776881,45.953700
8,01/H535/BG/03,Bergamo,Roncobello,Peghera - Strada Alpeggio Mezzeno,"45°57'13,32"" ","9°46'36,77"" ",1320,no,Abies alba Mill.,Abete bianco,380,50,a) età e/o dimensioni ,si,9.721817,45.689250
9,04/I628/BG/03,Bergamo,Seriate,"Via Giacomo Venezian, 59 ","45°41'21,30"" ","9°43'18,54"" ",247,si,Cupressus sempervirens L.,Cipresso comune,315,22,a) età e/o dimensioni f) pregio paesaggistico,no,9.718389,45.683575
10,08/I628/BG/03,Bergamo,Seriate,"Ospedale Bolognini - Via Paderno, 21","45°41'00,87"" ","9°43'06,20"" ",247,si,Platanus acerifolia (Aiton) Willd,Platano comune,465,33.5,a) età e/o dimensioni,no,9.720886,45.687500
