ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/A332/BZ/21,Bolzano,Appiano ,Masaccio," 46°26'20,12""","11°13'59,72"" ",870,no,Insieme omogeneo di Sequoiadendron giganteum (Lindl) J. Buchholz,Sequoia gigante ,558 (med) 636 (max),"46,5 (med) 57,5 (max)","a) età e/o dimensioni g) valore storico, culturale, religioso",bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.233256,46.464167
2,01/A952/BZ/21,Bolzano,Bolzano,Piazzale della Stazione,"46°29'48,21''","11°21'27,85''",265,si,Platanus acerifolia (Aiton) Wild.,Platano comune,562,35.5,a) età e/o dimensioni b) forma e portamento,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.357736,46.514167
3,02/A952/BZ/21,Bolzano,Bolzano,"Via Museo, 62","46°30'00,62''","11°210'53,66''",275,si,Robinia pseudoacacia L.,Robinia,441,7,a) età e/o dimensioni b) forma e portamento,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,0.000000,"0.000000""11d210'53.66''"".""46d30'00.62''"""
4,01/B145/BZ/21,Bolzano,Brennero,Fleres di Dendro," 46°57'47,13""","11°18'06,38"" ",1710,no,Picea abies (L) H. Karst.,Abete rosso,298,38,a) età e/o dimensioni,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.301772,46.980833
5,01/B160/BZ/21,Bolzano,Bressanone,Maso Gebreitner - Cornale - Sant'Andrea in monte ," 46°42'56,67""","11°40'33,58""",790,no,Castanea sativa Mill.,Castagno,863,19.5,a) età e/o dimensioni b) forma e portamento,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.675994,46.730833
6,02/B160/BZ/21,Bolzano,Bressanone,Castel Pallaus - Sarnes," 46°41'28,23""","11°39'00,98"" ",595,no,Insieme omogeneo di Sequoiadendron giganteum (Lindl) J. Buchholz,Sequoia gigante ,524 (med) 610 (max),"30,8 (med) 35,0 (max)",a) età e/o dimensioni,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.650272,46.714167
7,01/B220/BZ/21,Bolzano,Brunico,Teodone," 46°48'16,73""","11°56'51,56"" ",860,si,Insieme omogeneo di Quercus petraea (Matt.) Liebl.,Rovere,260 (med) 290 (max),"18,7 (med) 19.5 (max)",b) forma e portamento d) rarità botanica,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.947656,46.830833
8,01/C652/BZ/21,Bolzano,Chiusa,Maso Moar in Ums - Fraghes,"46°38'48,61""","11°33'17,32"" ",980,no,Castanea sativa Mill.,Castagno,738,21,a) età e/o dimensioni b) forma e portamento,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.554811,46.664167
9,01/B799/BZ/21,Bolzano,Cornedo all'Isarco,Via Cornedo,"46°29'23,15""","11°24'27,40"" ",520,si,Castanea sativa Mill.,Castagno,1190,16,a) età e/o dimensioni b) forma e portamento,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.407611,46.514167
10,01/D048/BZ/21,Bolzano,Cortaccia ,Sant' Anna - Fennhals," 46°17'38,26""","11°11'05,91"" ",1020,no,Insieme omogeneo di Sequoiadendron giganteum (Lindl) J. Buchholz,Sequoia gigante ,565 (med) 575 (max),"44,0 (med) 46,0 (max)",a) età e/o dimensioni,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.184975,46.314167
11,01/D222/BZ/21,Bolzano,Curon Venosta,Pazin,"46°50'03,63""","10°36'37,34"" ",1830-2040,no,Insieme omogeneo di Larix decidua Mill.,Larice,393(med) 456 (max),"28,5 (med) 30,5 (max)",a) età e/o dimensioni b) forma e portamento c) valore ecologico ,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,10.610372,46.861389
12,01/D484/BZ/21,Bolzano,Falzes,Maso Litterer - Molini ," 46°49'09,01""","11°50'47,69"" ",980,no,Picea abies (L) H. Karst.,Abete rosso,161,33,"b) forma e portamento d) rarità botanica g) valore storico, culturale, religioso",bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.846581,46.847500
13,01/E398/BZ/21,Bolzano,Laces,Piazzale Stazione," 46°37'09,92""","11°51'39,02"" ",635,si,Aesculus hippocastanum L.,Ippocastano,430,24.5,"a) età e/o dimensioni g) valore storico, culturale, religioso",bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.860839,46.647500
14,01/E420/BZ/21,Bolzano,Laion,Albions," 46°38'01,25""","11°34'07,36""",745,no,Castanea sativa Mill.,Castagno,1322,15.5,a) età e/o dimensioni,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.568711,46.664167
15,01/E421/BZ/21,Bolzano,Laives,Parrocchia di Laives," 46°25'35,9""","11°20'19,34""",245,si,Acer negundo L.,Negundo,314,8.5,"a) età e/o dimensioni g) valore storico, culturale, religioso",bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.338706,46.447500
16,01/E862/BZ/21,Bolzano,Malles Venosta,Strada di Slinga," 46°42'10,47""","10°31'10,91""",1350,no,Insieme omogeneo di Sequoiadendron giganteum (Lindl) J. Buchholz,Sequoia gigante ,400 (med) 438 (max),"22,0 (med) 24,0 (max)",a) età e/o dimensioni,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,10.519697,46.728056
17,01/E829/BZ/21,Bolzano,Magrè,Favogna di Sotto," 46°16'20,66""","11°10'53,93"" ",1040,no,Tilia platyphyllos Scop.,Tiglio nostrale,580,23.5,a) età e/o dimensioni,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.181647,46.297500
18,02/E829/BZ/21,Bolzano,Magrè,"Augustinhaus - Schlachthofgasse, 13"," 46°17'17,91""","11°12'36,84"" ",220,si,Vitis vinifera L.,Vite,52-45,5,"a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico g) valore storico, culturale, religioso ",bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.210233,46.314167
19,01/F132/BZ/21,Bolzano,Merano,Passeggiata Lungo Passirio - Ponte della Posta," 46°40'11,79""","11°09'51,66"" ",325,si,Insieme omogeneo di Aesculus hippocastanum L.,Ippocastano,366 (med) 488 (max),"24,0 (med) 27,0 (max)",a) età e/o dimensioni b) forma e portamento ,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.164350,46.697500
20,02A/F132/BZ/21,Bolzano,Merano,"Palazzo Seisenegg - Via dei Giardini, 1","46°40'11,66""","11°09'59,95"" ",325,si,Sequoiadendron giganteum (Lindl) J. Buchholz,Sequoia gigante ,693,40,a) età e/o dimensioni,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.166653,46.697500
21,02B/F132/BZ/21,Bolzano,Merano,"Palazzo Seisenegg - Via dei Giardini, 1","46°40'11,64""","11°10'00,32"" ",325,si,Cedrus deodara (D.Don) G.Don,Cedro dell'Himalaya,663,33.5,a) età e/o dimensioni,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.166756,46.697500
22,03/F132/BZ/21,Bolzano,Merano,"Via Roma, 11","46°40'01,65""","11°09'44,35"" ",310,si,Platanus occidentalis L,Platano occidentale,452,25,a) età e/o dimensioni,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.162319,46.697500
23,04/F132/BZ/21,Bolzano,Merano,Parco Maia," 46°39'57,64""","11°10'12,83"" ",325,si,Calocedrus decurrens (Torr.) Florin,Libocedro,460,26,a) età e/o dimensioni b) forma e portamento d) rarità botanica,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.170231,46.680833
24,05/F132/BZ/21,Bolzano,Merano,Corso della Libertà/Via Ottone Huber," 46°40'15,46""","11°09'22,03"" ",310,si,Platanus acerifolia(Aiton) Wild,Platano comune,360,35.5,a) età e/o dimensioni,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.156119,46.697500
25,01/F856/BZ/21,Bolzano,Naz-Sciaves,Aica ," 46°46'34,33""","11°38'29,94""",710,no,Tilia cordata Mill.,Tiglio selvatico,633,17,a) età e/o dimensioni,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.641650,46.797500
26,01/G443/BZ/21,Bolzano,Perca,Maso Gratter -Vila di Sopra ," 46°48'37,67""","11°59'41,69""",1305,si,Acer platanoides L.,Acero riccio,376,19.5,a) età e/o dimensioni b) forma e portamento ,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.994914,46.830833
27,01/H152/BZ/21,Bolzano,Racines,Castello Wolfsthurn - Mareta," 46°53'35,12""","11°20'55,67"" ",1060,no,Castanea sativa Mill.,Castagno,410-267-240,22,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.348797,46.914167
28,02/H152/BZ/21,Bolzano,Racines,Cascata di Stanghe ," 46°52'50,9""","11°22'33,03"" ",1000,no,Picea abies (L) H. Karst.,Abete rosso,439,44.5,a) età e/o dimensioni,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.375842,46.897500
29,01/H236/BZ/21,Bolzano,Renon,Maso Maggner - Vanga,"46°32'47,77""","11°22'33,24"" ",700,no,Castanea sativa Mill.,Castagno,862,15,a) età e/o dimensioni b) forma e portamento c) valore ecologico,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.375900,46.564167
30,01/H719/BZ/21,Bolzano,Salorno,Maso Wiesen - Cauria," 46°16'35,78""","11°16'55,58""",1300,no,Tilia platyphyllos Scop.,Tiglio nostrale,445,23,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.282106,46.297500
31,01/H858/BZ/21,Bolzano,San Genesio Atesino,Maso Thaler Hof - Avigna,"46°35'40,09""","11°20'44,85"" ",1365,no,Pinus cembra L. ,Pino cembro,440,25,a) età e/o dimensioni b) forma e portamento ,bene paesaggistico ai sensi dell'art. 3 della L.P. 25/071970 n. 16 ,11.345792,46.614167
