ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/B295/CB/14,Campobasso,Busso,Piano ,"41°32'52,13""","14°34'13,63""",681,no,Quercus crenata Lam.,Cerro - sughera,340,21,d) rarità botanica,no ,14.570453,41.572500
2,01/B519/CB/14,Campobasso,Campobasso,"Convitto Mario Pagano - Viale Giuseppe Mazzini, 1","41°33'36,34'","14°39'41,80''",734,si,Sequoiadendron giganteum (Lindl.) J. Buchholz,Sequoia gigante ,650,30,a) età e/o dimensioni b) forma e portamento ,si ,14.661611,41.589167
3,02/B519/CB/14,Campobasso,Campobasso,"Convitto Mario Pagano - Viale Giuseppe Mazzini, 1","41°33'35,39''","14°39'39,14'",704,si,Ginkgo biloba L.,Ginco ,190,17.5,d) rarità botanica,no,14.660872,41.589167
4,03/B519/CB/14,Campobasso,Campobasso,"Scuola primaria Nicola Scarano - Via Francesco Crispi, 82","41°33'50,39""","14°40'11,17""",716,si,Platanus acerifolia (Aiton) Willd.,Platano comune,370,28,a) età e/o dimensioni b) forma e portamento ,no ,14.669769,41.589167
5,04/B519/CB/14,Campobasso ,Campobasso,"Convitto Mario Pagano - Viale Giuseppe Mazzini, 1","41°33'35,00''","14°39'38,00'",713,si ,Cedrus libani A. Richard,Cedro del Libano ,360,14.3,a) età e/o dimensioni d) rarità botanica ,no,14.660556,41.589167
6,06/B519/CB/14,Campobasso ,Campobasso,Contrada Fonte Coda ,"41°32'34,49""","14°41'12,46""",552,si,Quercus pubescens Willd.,Roverella ,580,20.5,a) età e/o dimensioni ,no,14.686794,41.572500
7,02/B544/CB/14,Campobasso,Campolieto,Piano dell' Arena,"41°38'43,00""","14°44'54,00""",866,no,Insieme omogeneo di Quercus cerris L.,Cerro,390 (med) 440 (max),"30,0 (med)35,0 (max)","a) età e/o dimensioni b) forma e portamento c) valore ecologico g) valore storico, culturale, religioso ",no ,14.748333,41.672500
8,01/B871/CB/14,Campobasso,Casalciprano,Valla,"41°35'17,48""","14°32'21,73""",580,no,Quercus pubescens Willd.,Roverella ,390,18,a) età e/o dimensioni ,no ,14.539369,41.622500
9,01/C772/CB/14,Campobasso,Duronia,Mustaccio,"41°39' 51,58""","14°29'36,05""",625,no,Quercus pubescens Willd.,Roverella ,380,20,a) età e/o dimensioni ,no ,14.493347,41.689167
10,01/G910/CB/14,Campobasso,Portocannone,Becciata - Zona Artigianale ,"41°54'38,53''","15°00'26,44''",142,si,Olea europaea L.,Olivo,730,8.5,"a) età e/o dimensioni b) forma e portamento c) valore ecologico f) pregio paesaggistico g) valore storico, culturale, religioso ",no,15.007344,41.941944
