ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,03/A665/BO/08,Bologna,Baricella,Boschi - Via Marchette,"44°41'07,55""","11°34'54,46"" ",5,no,Populus x canadensis (Aiton) Sm.,Pioppo della Carolina,488,26,a) età e/o dimensioni f) pregio paesaggistico,si,11.607406,44.663153
2,08/A665/BO/08,Bologna,Baricella,Mondonuovo - Via Savena Vecchia,"44°39'47,35""","11°36'26,66"" ",7,no,Quercus robur L.,Farnia,450,27.5,a) età e/o dimensioni f) pregio paesaggistico,si,11.525278,44.648056
3,15/A665/BO/08,Bologna,Baricella,Via Giovannini - Unione Terre di Pianura,"44°38'53,00"" ","11°31'31,00"" ",9,no,Populus alba L.,Pioppo bianco,380,26,a) età e/o dimensioni f) pregio paesaggistico,si,11.521389,44.650556
4,16/A665/BO/08,Bologna,Baricella,Via Giovannini - Unione Terre di Pianura,"44°39'02,00""","11°31'17,00"" ",9,no,Populus alba L.,Pioppo bianco,493,31,a) età e/o dimensioni f) pregio paesaggistico,si,11.439681,44.664717
5,02/A785/BO/08,Bologna,Bentivoglio, Oasi La Rizza - Via Olmo,"44°39'52,98""","11°26'22,85"" ",11,no,Insieme omogeneo di Morus alba L.,Gelso bianco,280 (med) 380 (max),"13,0 (med) 15,0 (max)","a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso",si,11.386306,44.535642
6,01/A944/BO/08,Bologna,Bologna,"Cadriano - Via del Bordone, 25","44°32'08,31"" ","11°23'10,70"" ",40,no,Quercus robur L.,Farnia,480,27.5,a) età e/o dimensioni ,no,11.351908,44.483889
7,02/A944/BO/08,Bologna,Bologna,Giardini Margherita - Viale Gozzadini ,"44°29'02,00""","11°21'06,87"" ",70,si,Sequoia sempervirens (D. Don) Endl,Sequoia sempreverde,520,37.5,a) età e/o dimensioni d) rarità botanica,si,11.340839,44.480939
8,03/A944/BO/08,Bologna,Bologna,"Istituto Ortopedico Rizzoli - Via Pupilli, 1 ","44°28'51,38""","11°20'27,02"" ",130,si,Cedrus deodara (D.Don) G.Don,Cedro dell'Himalaya,520,29,"a) età e/o dimensioni g) valore storico, culturale, religioso",si,11.345308,44.492053
9,04/A944/BO/08,Bologna,Bologna,Piazza Minghetti,"44°29'31,39""","11°20'43,11"" ",60,si,Platanus acerifolia (Aiton) Willd.,Platano comune,455,39.5,"a) età e/o dimensioni g) valore storico, culturale, religioso",si,11.314267,44.489817
10,05/A944/BO/08,Bologna,Bologna,"Villa delle Rose - Via Saragozza, 228-230","44°29'23,34""","11°18'51,36"" ",65,si,Cedrus atlantica (Endl.) Manetti ex Carrière,Cedro dell'Atlante ,545,32,"a) età e/o dimensioni g) valore storico, culturale, religioso",si,11.328867,44.477047
