ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/C630/BL/05,Belluno,Chies d'Alpago,Busa de Antander,"46°10'19,21"" ","12°26'03,00""",1320,no,Fagus sylvatica L.,Faggio,475,28,a) età e/o dimensioni,False,12.096272,46.601100
2,01/A266/BL/05,Belluno,Cortina d'Ampezzo,Pian de Loa,"46°36'03,96"" ","12°05'46,58""",1360,no,Picea abies (L.) H. Karst.,Abete rosso,380,35,a) età e/o dimensioni,False,11.906911,46.016206
3,01/D530/BL/05,Belluno,Feltre,Piazza Isola,"46°00'58,34"" ","11°54'24,88""",263,si,Styphnolobium japonicum (L.) Schott,Sofora del Giappone,470,23,a) età e/o dimensioni d) rarità botanica,False,11.915022,46.020364
4,02/D530/BL/05,Belluno,Feltre,Via Borgo Ruga,"46°01'13,31"" ","11°54'54,08""",281,si,Platanus acerifolia (Aiton) Willd.,Platano comune,540,34,a) età e/o dimensioni,False,12.235547,46.234064
5,01/M342/BL/05,Belluno,Longarone,Cajada,"46°14'02,63"" ","12°14'07,97""",1226,no,Abies alba Mill.,Abete bianco,380,42,a) età e/o dimensioni,False,12.301839,46.243750
6,02/M342/BL/05,Belluno,Longarone,Faè,"46°14'37,50"""," 12°18'06,62""",425,no,Sequoiadendron giganteum (Lindl.) J. Buchholz,Sequoia gigante,600,33,"a) età e/o dimensioni d) rarità botanica g) valore storico, culturale, religioso",False,12.364172,46.167742
7,01/G638/BL/05,Belluno,Pieve d'Alpago,"Torres - Via de Filip, 72","46°10'03,87"""," 12°21'51,02""",660,no,Cornus mas L.,Corniolo,250,8,a) età e/o dimensioni,False,12.359844,46.423561
8,01/G642/BL/05,Belluno,Pieve di Cadore,"Tai - Via Coletti, 2","46°25'24,82"" "," 12°21'35,44""",840,si,Acer pseudoplatanus L.,Acero di monte,330,21,a) età e/o dimensioni,False,11.895250,45.173031
9,01/A568/PD/05,Padova,Bagnoli di Sopra,Via Ludovico Pastò,"45°10'22,91""","11°53'42,90""",0,no,Quercus robur L.,Farnia,390,23,a) età e/o dimensioni f) pregio paesaggistico,False,11.911097,45.322175
10,01/B912/PD/05,Padova,Casalserugo,Villa Ca' Ferri - Strada Provinciale n. 3,"45°19'19,83"" ","11°54'39,95""",4,si,Populus nigra L.,Pioppo nero,430,32,a) età e/o dimensioni d) rarità botanica e) architettura vegetale,False,11.796256,45.608931
11,01/C743/PD/05,Padova,Cittadella,Villa Bolzonella - Via Bolzonella,"45°36'32,15"" ","11°47'46,52""",35,no,Quercus rubra L.,Quercia rossa,610,27,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico,False,11.834442,45.660836
12,01/D879/PD/05,Padova,Galliera Veneta,"Villa Imperiale - Via Roma, 190","45°39'39,01""","11°50'03,99""",7,si,Photinia serrulata Lindl.,Fotinia,molti fusti (max 43) ,16,"b) forma e portamento g) valore storico, culturale, religioso",False,11.880850,45.401017
13,01/G224/PD/05,Padova,Padova,Basilica di Sant' Antonio da Padova,"45°24'03,66"" ","11°52'51,06""",19,si,Magnolia grandiflora L.,Magnolia,440,25,"a) età e/o dimensioni e) architettura vegetale g) valore storico, culturale, religioso",False,11.881050,45.399425
14,02/G224/PD/05,Padova,Padova,Orto Botanico - Via Vittoria Aganoor,"45°23'57,93"" ","11°52'51,78""",16,si,Chamaerops humilis L.,Palma di San Pietro,"25 fusti ampiezza chioma 5,5",12,"a) età e/o dimensioni c) valore ecologico d) rarità botanica g) valore storico, culturale, religioso",False,11.753608,45.132811
15,01/I938/PD/05,Padova,Stanghella ,Parco Centanini - Via Roma,"45°07'58,12"" ","11°45'12,99""",13,si,Ulmus minor Mill.,Olmo campestre,365,28.5,a) età e/o dimensioni d) rarità botanica,False,11.707225,45.133583
