ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/A390/AR/09,Arezzo,Arezzo,Casa Fredda,"43°29’48,88’’","11°51’44,89’’",270,no,Quercus pubescens Willd.,Roverella ,570,24,a) età e/o dimensioni b) forma e portamento,no,11.862469,43.514167
2,01/F656/AR/09,Arezzo,Montevarchi,Colle dei Cappuccini,"43°31’10,97’’","11°33’25,85’’",230,no,Quercus ilex L.,Leccio,520,20,"a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso",si,11.557181,43.547500
3,01/D575/FI/09,Firenze,Fiesole,Terenzano – Compiobbi,"43°46’50,15’’","11°20’49,94’’",192,no,Celtis australis L.,Bagolaro ,405,15,a) età e/o dimensioni f) pregio paesaggistico,si,11.347206,43.797500
4,02/D575/FI/09,Firenze,Fiesole,Pian del Mugnone,"43°49’14,63’’","11°17’55,15’’",178,no,Quercus cerris L.,Cerro,410,18,a) età e/o dimensioni ,si,11.298653,43.847500
5,03/D575/FI/09,Firenze,Fiesole,Via del Bargellino,"43°49’18,52’’","11°18’23,90’’",267,no,Cupressus sempervirens L.,Cipresso comune,270,16,a) età e/o dimensioni b) forma e portamento e) architettura vegetale f) pregio paesaggistico,si,11.306639,43.847500
6,06/D575/FI/09,Firenze,Fiesole,Torre a Buiano,"43°50’73,50’’","11°19’80,80’’",452,no,Quercus pubescens Willd.,Roverella ,440,14,"a) età e/o dimensioni e) architettura vegetale f) pregio paesaggistico g) valore storico, culturale, religioso",si,11.339111,43.864167
7,01/M321/FI/09,Firenze,Figline Valdarno,Sant'Andrea in Campiglia,"43°36’24,96’’","11°25’41,55’’",278,no,Insieme omogeneo di Morus nigra L. ,Gelso nero,150 (med) 150 (max),"5,0 (med) 5,0 (max)","g) valore storico, culturale, religioso",no,11.428208,43.630833
8,03/D815/FI/09,Firenze,Fucecchio,Piazza La Vergine,"43°43’47,45’’","10°48’33,43’’",25,si,Cupressus sempervirens L.,Cipresso comune,115,12,b) forma o portamento,si,10.809286,43.744722
9,16/D815/FI/09,Firenze,Fucecchio,Pinete - Val Grande,"43°46'59,84”","10°45'17,18”",56,no,Quercus crenata Lam.,Cerro-sughera,400,38,a) età e/o dimensioni d) rarità botanica ,si,10.754772,43.794722
10,17/D815/FI/09,Firenze,Fucecchio,Fucecchio – Val di Cava,"43°46'40,79”","10°45'33,51”",62,no,Sorbus torminalis Crantz,Ciavardello,180,22,d) rarità botanica ,si,10.759308,43.794722
