ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/A326/AO/02,Aosta,Aosta,Borgo Sant'Orso,"45°44'27,39''","7°19'32,99'' ",583,si,Tilia platyphyllos Scop.,Tiglio nostrale,461,14,"a) età e/o dimensioni e) architettura vegetale f) pregio paesaggistico g) valore storico, culturale, religioso ",vigente,7.327831,45.739267
2,02/A326/AO/02,Aosta,Aosta,Arco d'Augusto,"45°44'21,36''","7°19'40,19'' ",578,si,Platanus acerifolia (Aiton) Wild,Platano comune,471,25,a) età e/o dimensioni b) forma e portamento e) architettura vegetale f) pregio paesaggistico,no,7.559383,45.937275
3,01/A877/AO/02,Aosta,Bionaz,Gordzé,"45°56'14,19''","7°33'33,78'' ",2080,no,Larix decidua Mill.,Larice,540,23,"a) età e/o dimensioni b) forma e portamento g) valore storico, culturale, religioso ",no,7.738897,45.688617
4,01/C594/AO/02,Aosta,Challand-Saint-Victor,Bosco di protezione di Biuley (p.c. 13),"45°41'19,02''","7°44'20,03'' ",1449,no,Larix decidua Mill.,Larice,350,23,a) età e/o dimensioni b) forma e portamento,no,7.738908,45.688903
5,02/C594/AO/02,Aosta,Challand-Saint-Victor,Bosco di protezione di Biuley (p.c. 13),"45°41'20,05''","7°44'20,07'' ",1458,no,Larix decidua Mill.,Larice,370,22,a) età e/o dimensioni b) forma e portamento,no,7.738903,45.688892
6,03/C594/AO/02,Aosta,Challand-Saint-Victor,Bosco di protezione di Biuley (p.c. 13),"45°41'20,01''","7°44'20,05'' ",1453,no,Larix decidua Mill.,Larice,359,21,a) età e/o dimensioni b) forma e portamento,no,7.739189,45.688353
7,04/C594/AO/02,Aosta,Challand-Saint-Victor,Bosco di protezione di Biuley (p.c. 13),"45°41'18,07''","7°44'21,08'' ",1462,no,Larix decidua Mill.,Larice,341,22,a) età e/o dimensioni b) forma e portamento,no,7.739181,45.688339
8,05/C594/AO/02,Aosta,Challand-Saint-Victor,Bosco di protezione di Biuley (p.c. 13),"45°41'18,02''","7°44'21,05'' ",1465,no,Larix decidua Mill.,Larice,412,25,a) età e/o dimensioni b) forma e portamento,no,7.739461,45.688897
9,06/C594/AO/02,Aosta,Challand-Saint-Victor,Bosco di protezione di Biuley (p.c. 13),"45°41'20,03''","7°44'22,06'' ",1467,no,Larix decidua Mill.,Larice,335,17,a) età e/o dimensioni b) forma e portamento,no,7.740289,45.689169
10,07/C594/AO/02,Aosta,Challand-Saint-Victor,Bosco di protezione di Biuley (p.c. 13),"45°41'21,01''","7°44'25,04'' ",1464,no,Larix decidua Mill.,Larice,358,26,a) età e/o dimensioni b) forma e portamento,no,7.740000,45.690000
