ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,03/A092/AN/11,Ancona,Agugliano,Ristorante La Chiusa - Chiusa,"43°33'34,08""","13°19'14,93""",34,no,Quercus pubescens Willd.,Roverella,330,18,a) età e/o dimensioni b) forma e portamento ,no,13.320814,43.586389
2,04/A092/AN/11,Ancona,Agugliano,Parco delle Querce - Via G.B. Lattanzi,"43°32'49,24""","13°23'22,32""",125,si,Quercus pubescens Willd.,Roverella,315,15,a) età e/o dimensioni b) forma e portamento ,no,13.389533,43.569722
3,02/A366/AN/11,Ancona,Arcevia,Case Guattarano - Santo Stefano,"43°29'38,10""","12°52'59,30""",475,no,Quercus ilex L.,Leccio,360,18,a) età e/o dimensioni b) forma e portamento ,no,12.883139,43.516944
4,23/A366/AN/11,Ancona,Arcevia,Appurano - Prosano,43° 29' 01.30'',12° 58' 41.26'',420,si,Quercus pubescens Willd.,Roverella,340,12,b) forma e portamento,no,12.000000,0.966667 41.260000''.43d 29' 01.30''
5,01/B468/AN/11,Ancona,Camerano,Giardino Mancinforte,"43°31'51,22""","13°33'08,09""",176,si,Acer negundo L.,Negundo,300,11,a) età e/o dimensioni e) architettura vegetale,no,13.552247,43.553056
6,01/C248/AN/11,Ancona,Castelplanio,Fossomargutti,"43°30'47,92""","13°07'34,79""",234,no,Ulmus minor Mill.,Olmo campestre,415,13,a) età e/o dimensioni,no,13.126331,43.536389
7,01/D211/AN/11,Ancona,Cupramontana,"Torre Ghisleri - Via Torre, 60","43°28'19,94""","13°09'29,98''",252,no,Quercus pubescens Willd.,Roverella,300,27,a) età e/o dimensioni b) forma e portamento,no,13.158328,43.503056
8,01/D451/AN/11,Ancona,Fabriano,"Nebbiano - Via Montepolesco, 16","43°21'21,54""","12°54'21,79''",316,si,Quercus pubescens Willd.,Roverella,490,21,a) età e/o dimensioni b) forma e portamento ,no,12.906053,43.383611
9,02/D451/AN/11,Ancona,Fabriano,Molinaccio - Strada Provinciale 16,"43°21'08,00""","12°49'39,00""",512,no,Quercus pubescens Willd.,Roverella,430,18,a) età e/o dimensioni f) pregio paesaggistico,no,12.827500,43.383611
10,03/D451/AN/11,Ancona,Fabriano,Via Tersilio Fida,"43°19'40,69""","12°54'14,05""",390,si,Insieme omogeneo di Quercus pubescens Willd.,Roverella,390 (med) 395 (max),"20,0 (med) 20,0 (max)","a) età e/o dimensioni b) forma e portamento c) valore ecologico f) pregio paesaggistico g) valore storico, culturale, religioso ",no,12.903903,43.350278
