ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
93,01/H089/UD/06,Udine,Pulfero ,Coceanzi - Pegliano," 46°10'22,96""","13°27'34,34'' ",620,no,Castanea sativa Mill.,Castagno,783,19,"a) età e/o dimensioni c) valore ecologico g) valore storico, culturale, religioso",no,13.464317,46.168186
94,02/H089/UD/06,Udine,Pulfero ,Coceanzi - Pegliano," 46°10'05,47""","13°27'51,54""",540,no,Castanea sativa Mill.,Castagno,520,24,a) età e/o dimensioni,no,12.826842,46.448358
95,01/H200/UD/06,Udine,Raveo,Pani,"46°26'54,09''","12°49'36,63''",1004,no,Pyrus pyraster (L.) Burgsd,Pero selvatico,254,15,a) età e/o dimensioni,no,13.548919,46.101786
96,01/H951/UD/06,Udine,San Leonardo,Iainich,"46°06'06,43"""," 13°32'56,11"" ",580,no,Betula pendula Roth,Betulla verrucosa,235,23,a) età e/o dimensioni,no,13.532219,46.147200
97,02/H951/UD/06,Udine,San Leonardo,Trivio,"46°08'49,92''","13°31'55,99"" ",530,no,Castanea sativa Mill.,Castagno,560,24,a) età e/o dimensioni,no,13.531056,46.193789
98,01/I479/UD/06,Udine,Savogna,"Via Montemaggiore, 70"," 46°11'37,64''","13°31'51,80''",920,no,Fagus sylvatica L.,Faggio,420,29,a) età e/o dimensioni,no,13.138861,45.921739
99,01/L039/UD/06,Udine,Talmassons,Villa Mangilli,"45°55'18,26"" ","13°08'19,90"" ",30,si,Cedrus deodara (D.Don) G.Don ,Cedro dell'Himalaya,574,28,a) età e/o dimensioni e) architettura vegetale,no,13.222850,46.215606
100,01/L050/UD/06,Udine,Tarcento,"Via Giuseppe Garibaldi, 1","46°12'56,18"""," 13°13'22,26"" ",230,si,Platanus orientalis L.,Platano orientale,550,30,a) età e/o dimensioni b) forma particolare ,no,13.225042,46.214572
101,02/L050/UD/06,Udine,Tarcento,Via Sotto Colleverzan,"46°12' 52,46"" ","13°13'30,15"" ",230,si,Populus nigra L.,Pioppo nero,450,24,a) età e/o dimensioni b) forma particolare,no,13.534361,46.509036
102,01/L057/UD/06,Udine,Tarvisio,Camporosso - Via Stazione,"46°30'32,53""","13°32'03,70""",802,si,Insieme omogeneo di Pyrus pyraster (L.) Burgsd.,Pero selvatico,300 (med) 350 (max),"18,0 (med) 20,0 (max)","a) età e/o dimensioni d) rarità botanica f) pregio paesaggistico g) valore storico, culturale, religioso ",si,13.535156,46.474808
103,02/L057/UD/06,Udine,Tarvisio,Malga Lussari - Monte Lussari,"46°28'29,31"" ","13°32'06,56""",1570,no,Larix decidua Mill.,Larice,531,27,a) età e/o dimensioni,no,13.536072,46.475611
104,03/L057/UD/06,Udine,Tarvisio,Malga Lussari - Monte Lussari,"46°28'32,20"" ","13°32'09,86"" ",1573,no,Picea abies (L.) H. Karst.,Abete rosso,445,31,a) età e/o dimensioni,no,13.535683,46.475514
105,04/L057/UD/06,Udine,Tarvisio,Malga Lussari - Monte Lussari,"46°28'31,85"" ","13°32'08,46"" ",1573,no,Picea abies (L.) H. Karst.,Abete rosso,545,32,a) età e/o dimensioni,no,13.536486,46.540761
106,05/L057/UD/06,Udine,Tarvisio,Malga Cavalli - Prati del Bartolo,"46°32'26,74"" ","13°32'11,35"" ",1310,no,Acer pseudoplatanus L.,Acero di monte,450,11,a) età e/o dimensioni,no,13.686767,46.492486
107,06/L057/UD/06,Udine,Tarvisio,Prati Oman,"46°29'32,95"" ","13°41'12,36"" ",868,no,Acer pseudoplatanus L.,Acero di monte,445 - 380,29.5,a) età e/o dimensioni b) forma e portamento c) valore ecologico ,no,13.624347,46.512050
108,07/L057/UD/06,Udine,Tarvisio,Oltreacqua,"46°30'43,38""","13°37'27,65"" ",770,no,Juglans regia L.,Noce comune,405,19,a) età e/o dimensioni,no,13.595689,46.498244
109,08/L057/UD/06,Udine,Tarvisio,Rutte Piccolo,"46°29'53,68""","13°35'44,48"" ",800,no,Tilia cordata Mill.,Tiglio selvatico,330,25,"a) età e/o dimensioni b) forma e portamento g) valore storico, culturale, religioso ",no,13.568297,46.506606
110,09/L057/UD/06,Udine,Tarvisio,Via Monteborgo,"46°30'23,78"" ","13°34'05,87"" ",752,si,Salix alba L.,Salice bianco,445,23,a) età e/o dimensioni,no,13.585497,46.437636
111,10/L057/UD/06,Udine,Tarvisio,Cave del Predil,"46°26'15,49"" ","13°35'07,79"" ",1270,no,Abies alba Mill.,Abete bianco,495,35,a) età e/o dimensioni,no,13.547817,46.438181
112,11/L057/UD/06,Udine,Tarvisio,Cave del Predil,"46°26'17,45"" ","13°32'52,14""",1450,no,Picea abies (L.) H. Karst.,Abete rosso,490,36,a) età e/o dimensioni,no,13.598694,46.497842
113,12/L057/UD/06,Udine,Tarvisio,Rutte Piccolo,"46°29'52,23""","13°35'55,30""",800,si,Ulmus glabra Huds.,Olmo montano,460,30,a) età e/o dimensioni,no,13.526375,46.510681
114,13/L057/UD/06,Udine,Tarvisio,Camporosso,"46°30'38,45"" ","13°31'34,95"" ",841,no,Fagus sylvatica L.,Faggio,525,32,a) età e/o dimensioni b) forma e portamento,no,13.215250,46.159119
115,01/L421/UD/06,Udine,Tricesimo,Piazza Giuseppe Verdi ,"46°09'32,83"""," 13°12'54,90""",210,si,Cedrus deodara (D.Don) G.Don ,Cedro dell'Himalaya,450,31,a) età e/o dimensioni,no,13.211856,46.161775
116,02/L421/UD/06,Udine,Tricesimo,Piazza Ellero ,"46°09'42,39"""," 13°12'42,68""",210,si,Wisteria sinensis (Sims) Sweet,Glicine,160,2.5,a) età e/o dimensioni b) forma e portamento d) rarità botanica e) architettura vegetale,no,13.218811,46.173600
117,03/L421/UD/06,Udine,Tricesimo,"Villa Rizzi - Via Giosuè Carducci, 15","46°10'24,96""","13°13'07,72""",210,si,Populus canescens (Aiton) Sm.,Pioppo canescente,370,28,a) età e/o dimensioni d) architettura vegetale f) pregio paesaggistico,no,13.218706,46.173492
118,04/L421/UD/06,Udine,Tricesimo,"Villa Rizzi - Via Giosuè Carducci, 15","46°10'24,57"" ","13°13'07,34"" ",210,si,Insieme omogeneo di Cedrus deodara (D.Don) G.Don ,Cedro dell'Himalaya,350 (med) 380 (max),"25,0 (med) 29,0 (max)",a) età e/o dimensioni d) architettura vegetale f) pregio paesaggistico,no,13.219469,46.173383
119,06/L421/UD/06,Udine,Tricesimo,"Villa Rizzi - Via Giosuè Carducci, 15","46°10'24,18"""," 13°13'10,09"" ",210,si,Cupressus macrocarpa Hartw.,Cipresso di Monterey,335,20,a) età e/o dimensioni d) architettura vegetale f) pregio paesaggistico,no,13.236511,46.064292
120,01/l483/UD/06,Udine,Udine,Giardini del Castello,"46°03'51,45"" ","13°14'11,44""",222,si,Cedrus deodara (D.Don) G.Don ,Cedro dell'Himalaya,522,30,a) età e/o dimensioni d) architettura vegetale f) pregio paesaggistico,si,13.235889,46.064094
121,02/l483/UD/06,Udine,Udine,Giardini del Castello,"46°03'50,74""","13°14'09,20""",223,si,Cedrus deodara (D.Don) G.Don ,Cedro dell'Himalaya,448,28,a) età e/o dimensioni d) architettura vegetale f) pregio paesaggistico,no,13.236750,46.064486
122,03/l483/UD/06,Udine,Udine,Giardini del Castello,"46°03'52,15""","13°14'12,30""",225,si,Cedrus deodara (D.Don) G.Don ,Cedro dell'Himalaya,395,27,a) età e/o dimensioni f) pregio paesaggistico,no,13.229019,46.060653
123,04/l483/UD/06,Udine,Udine,Piazzale XXVI Luglio,"46°03'38,35""","13°13'44,47""",220,si,Aesculus hippocastanum L.,Ippocastano,414,22,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico,no,13.239553,46.063089
124,06/l483/UD/06,Udine,Udine,Giardini Ricasoli,"46°03'47,12""","13°14'22,39""",173,si,Cedrus deodara (D.Don) G.Don ,Cedro dell'Himalaya,427,25,a) età e/o dimensioni,no,13.239461,46.062853
125,07/l483/UD/06,Udine,Udine,Giardini Ricasoli,"46°03'46,27""","13°14'22,06""",173,si,Quercus robur L.,Farnia,430,28,a) età e/o dimensioni ,si,13.239764,46.062778
