ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
1,01/A101/AV/15,Avellino,Aiello del Sabato,Incrocio tra Via Croce e Via Unità d'Italia,"40°53'20,07"" ","14°49'14,01""",412,si,Quercus robur L.,Farnia,400,20,"a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso ",no,14.820558,40.922500
2,02/A101/AV/15,Avellino,Aiello del Sabato,Contrada Castagno Grosso,"40°53'08,44"" ","14°48'52,74"" ",445,no,Castanea sativa Mill.,Castagno,440,15,"a) età e/o dimensioni g) valore storico, culturale, religioso ",no,14.814650,40.922500
3,03/A101/AV/15,Avellino,Aiello del Sabato,Viale della Vittoria,"40°53'05,60"" ","14°49'09,70"" ",412,si,Insieme omogeneo di Platanus occidentalis L.,Platano occidentale,264 (max),"20,0 (med)","a) età e/o dimensioni g) valore storico, culturale, religioso ",no,14.819361,40.922500
4,04/A101/AV/15,Avellino,Aiello del Sabato,Tavernole San Felice - Fontana,"40°53'50,39"" ","14°49'14,26"" ",412,no,Insieme omogeneo di Carpinus betulus L.,Carpino bianco,175 (max)," 15,0 (med) ",a) età e/o dimensioni f) pregio paesaggistico ,no,14.820628,40.922500
5,05/A101/AV/15,Avellino,Aiello del Sabato,Contrada Carpine - Strada Provinciale n. 63,"40°53'16,72"" ","14°48'59,97""",398,no,Insieme omogeneo di Quercus pubescens Willd.,Roverella , 280 (med),"15,0 (med)",a) età e/o dimensioni f) pregio paesaggistico ,no,14.816658,40.922500
6,01/A347/AV/15,Avellino,Aquilonia,Badia di San Vito,"40°59'35,06"" ","15°28'16,04"" ",662,no,Quercus pubescens Willd.,Roverella ,520,17,"a) età e/o dimensioni b) forma e portamento c) valore ecologico e) architettura vegetale f) pregio paesaggistico g) valore storico, culturale, religioso ",no,15.471122,41.025278
7,01/C971/AV/15,Avellino,Contrada,Sentiero per Monte Faliesi - Tre Faggi,"40°52'34,14""","14°46'02,50""",780,no,Fagus sylvatica L.,Faggio,352,28,"a) età e/o dimensioni g) valore storico, culturale, religioso",si,14.767361,40.905833
8,02/C971/AV/15,Avellino,Contrada,Sentiero Monte Faliesi - Cappella San Michele,"40°52'29,13""","14°46'00,01""",875,no,Quercus cerris L.,Cerro,312,12,"a) età e/o dimensioni b) forma e portamento g) valore storico, culturale, religioso",si,14.766669,40.905833
9,01/D701/AV/15,Avellino,Forino,Via Largo Ponte,"40°51'40,66""","14°44'00,23""",425,si,Platanus acerifolia (Aiton) Willd,Platano comune,432,20,"a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso",si,14.733397,40.889167
10,02/D701/AV/15,Avellino,Forino,Collegiata della Santissima Annunziata,"40°51'40,04""","14°44'58,93""",400,si,Tilia × europaea L. syn Tilia x vulgaris B. Heyne syn Tilia intermedia DC,Tiglio comune,433,25,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico ,si,14.749703,40.889167
11,03/D701/AV/15,Avellino,Forino,Chiesa di San Felicissimo - Petruro,"40°51'59,71""","14°45'09,30""",435,si,Tilia × europaea L. syn Tilia x vulgaris B. Heyne syn Tilia intermedia DC,Tiglio comune,541,32,"a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso",si,14.752583,40.889167
12,01/E891/AV/15,Avellino,Manocalzati,Castello di San Barbato,"40°57'02,82""","14°50'49,31""",450,si,Tilia cordata Mill.,Tiglio selvatico,350,6,"a) età e/o dimensioni e) architettura vegetale f) pregio paesaggistico g) valore storico, culturale, religioso",si,14.847031,40.989167
13,01/H438/AV/15,Avellino,Rocca San Felice,Piazza San Felice,"40°57'05,73"""," 15°09'51,49''",750,si,Tilia cordata Mill.,Tiglio selvatico,290,10,"a) età e/o dimensioni b) forma e portamento e) architettura vegetale f) pregio paesaggistico g) valore storico, culturale, religioso",no,15.164303,40.991944
14,01/L004/AV/15,Avellino,Summonte,Strada Statale n. 374 - Paese,"40°56'56,08"""," 14°44'42,84''",738,si,Tilia × europaea L. syn Tilia x vulgaris B. Heyne syn Tilia intermedia DC,Tiglio comune,600,34,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico ,si,14.745233,40.972500
15,01/L102/AV/15,Avellino,Teora,Viale della Vittoria,"40°51'07,27"" ","15°15'06,97"" ",650,si,insieme omogeneo di Quercus ilex L.,Leccio,140 (med) 175 (max),"7,0 (med) 8,0 (max) ","g) valore storico, culturale, religioso",si,15.251936,40.891944
16, 01/L461/AV/15,Avellino,Tufo,Lo Raio - Via Pioppeto,"41°00'44,82""","14°49'04,98""",230,si,Platanus occidentalis L.,Platano occidentale,470,40,"a) età e/o dimensioni f) pregio paesaggistico g) valore storico, culturale, religioso",no,14.818050,41.039167
17,05/H764/BN/15,Benevento,San Bartolomeo in Galdo,Contrada Solfatara,"41°15'21,10""","15°02'33,67""",643,no,insieme omogeneo di Fraxinus excelsior L.,Frassino maggiore,516 (med) 632 (max),"19,0 (med) 28,0 (max)",a) età e/o dimensioni b) forma e portamento c) valore ecologico f) pregio paesaggistico ,no,15.042686,41.291944
18,01/B963/CE/15,Caserta,Caserta,San Leucio - Piazza della Seta,"41°05'54,38""","14°18'56,00""",145,si,Platanus acerifolia (Aiton) Willd,Platano comune,480,18,"a) età e/o dimensioni g) valore storico, culturale, religioso",no,14.315556,41.122500
19,02/B963/CE/15,Caserta,Caserta,Briano - Chiesa di San Nicola ,"41°19'26,01""","14°05'41,52""",145,si,Platanus acerifolia (Aiton) Willd,Platano comune,410,15,a) età e/o dimensioni ,no,14.094867,41.355833
20,03/B963/CE/15,Caserta,Caserta,"Casola - Chiesa San Marco Evangelista - Via Chiesa, 1","41°05'38,26""","14°22'60""",360,si,Tilia cordata Mill.,Tiglio selvatico,480,12,"a) età e/o dimensioni g) valore storico, culturale, religioso",no,14.383333,41.122500
21,04/B963/CE/15,Caserta,Caserta,Cimitero comunale,"41°05'21,24""","14°20'28,86""",68,si,Cinnamomun camphora T. Nees et Eberm,Albero della canfora,500,25,a) età e/o dimensioni ,no,14.341350,41.122500
22,05/B963/CE/15,Caserta,Caserta,Cimitero comunale,"41°05'21,55"""," 14°20'28,30""",68,si,Cedrus libani A. Richard,Cedro del Libano,635,30,a) età e/o dimensioni ,no,14.341194,41.122500
23,06/B963/CE/15,Caserta,Caserta,Piazza Pitesti,"41°04'48,50"" ","14°20'33,29""",68,si,Liriodendron tulipifera L.,Albero dei tulipani,310,18,a) età e/o dimensioni ,no,14.342581,41.105833
24,07/B963/CE/15,Caserta,Caserta,Piazza Vanvitelli,"41°04'30,30"" ","14°19'55,50""",68,si,Araucaria araucana (Molina) K.Koch,Pino del Cile,330,25,"a) età e/o dimensioni g) valore storico, culturale, religioso",no,14.332083,41.105833
25,08/B963/CE/15,Caserta,Caserta,Piazza Vanvitelli,"41°04'31,90"" ","14°19'56,70"" ",68,si,Casuarina equisetifolia L.,Casuarina,270,15,"a) età e/o dimensioni d) rarità botanica g) valore storico, culturale, religioso",no,14.332417,41.105833
26,09/B963/CE/15,Caserta,Caserta,Piazza Vanvitelli,"41°04'31,26'' ","14°19'55,86'' ",68,si,Taxus baccata L.,Tasso,270,12,"a) età e/o dimensioni g) valore storico, culturale, religioso",no,14.332183,41.105833
27,10/B963/CE/15,Caserta,Caserta,Cimitero comunale,"41°05'25,07""","14°20'31,90""",107,si,Insieme omogeneo di Cupressus sempervirens L.,Cipresso comune,200 (med) 370 (max),"16,0 (med) 21,0 (max)",a) età e/o dimensioni ,no,14.342194,41.122500
28,01/C129/NA/15,Napoli,Castellammare di Stabia,"Acqua della Madonna - Via Caio Duilio, 99","40°41'27,66""","14°28'22,83""",5,si,Quercus ilex L.,Leccio,250,12,"a) età e/o dimensioni g) valore storico, culturale, religioso",no,14.473008,40.722500
29,02/C129/NA/15,Napoli,Castellammare di Stabia,Quisisana,"40°41'04,77""","14°29'21,08""",173,si,Pinus halepensis var. brutia (Ten) A. Henry,Pino bruzio,495,22,a) età e/o dimensioni e) architettura vegetale,no,14.489189,40.722500
30,03/C129/NA/15,Napoli,Castellammare di Stabia,Quisisana,"40°41'04,46""","14°29'19,83""",173,si,Taxus baccata L. ,Tasso,211,8,a) età e/o dimensioni e) architettura vegetale,no,14.488842,40.722500
31,01/C675/NA/15,Napoli,Cicciano,"Via Sandro Pertini, 58","40°58'10,00'' "," 14°32'15,00''",50,si,Olea europaea L.,Olivo,590,15,"a) età e/o dimensioni b) forma e portamento g) valore storico, culturale, religioso",si,14.537500,41.005833
32,01/F839/NA/15,Napoli,Napoli,Porto - Via Ammiraglio Ferdinando Acton," 40°50'04,80''"," 14°15'04,70''",2,si,Platanus acerifolia (Aiton) Willd,Platano comune,484,30,a) età e/o dimensioni f) pregio paesaggistico ,no,14.251306,40.872500
33,02/F839/NA/15,Napoli,Napoli,"Salita Pontecorvo, 72"," 40°50'57,32''","14°14'52,26''",50,si,Cedrus libani A. Richard,Cedro del Libano,347,18,a) età e/o dimensioni f) pregio paesaggistico ,no,14.247850,40.872500
